,sub,obj,explanation,relation
464,pharmacy,drugs,the pharmacy didn't really hand out drugs.,Location
465,pharmacy,drugs,there are many drugs in a pharmacy.,Location
466,pharmacy,drugs,you can buy drugs at a pharmacy,Location
467,piece,whole,many pieces make up a whole.,PartOf
468,plague,death,plagues usually result in many deaths.,Result-In
469,planet,pluto,scientist have decided pluto is only a dwarf planet.,Category-Exemplar
470,platypus,eggs,a platypus is a mammal that lays eggs.,Action
471,plea,beg,if you are making a plea you are begging,Synonym
472,plea,beg,"when you make a plea for something, you beg for it.",Synonym
473,pocket,back,jeans usually always have back pockets.,Common-Phrase
474,pocket,wallet,i do not forget to keep my wallet in my pocket.,Location
475,pocket,wallet,i put my wallet in my pocket.,Location
476,pocket,wallet,many men put their wallets in their back pockets.,Location
477,pocket,wallet,the man panicked when he couldn't find his wallet in his pocket,Location
478,poison,dangerous,poison is a dangerous substance and should be kept away from children.,HasProperty
479,politics,republicans,republicans are a top party in politics.,Category-Exemplar
480,position,job,a position with the company is also called a job.,Synonym
481,position,second,second is a position in ballet.,Thematic
482,position,third,third is a position in ballet.,Category-Exemplar
483,possibility,anything,possibilities mean anything can happen.,Result-In
484,possibility,choose,i need to choose an answer out of several possibilities.,Action
485,possibility,face,he will face the possibility of being fired by his company due to misconduct.,Action
486,possibility,odds,many people bet the odds for a possibility of winning a bet.,Thematic
487,possible,can,if something is possible it means i think i can do it,Synonym
488,possible,chance,"if something is possible, there is a chance that it might happen.",Synonym
489,possible,could,anything that is possible could happen.,Has-Prerequisite
490,possible,viable,"if something is viable, it may be possible.",Synonym
491,powder,face,some people put powder on their face.,Location
492,pray,church,church is the place where most people pray,Location
493,pray,church,many people close their eyes to pray at church.,Location
494,pray,church,"when people go to church, they tend to pray",Location
495,prepared,plan,having a plan for something makes you feel more prepared.,Result-In
496,pressure,constraint,constraints can build up pressure and force.,Result-In
497,priest,religious,a priest is a religious leader.,HasProperty
498,princess,daughter,the princess is the daughter of the king and queen.,Category-Exemplar
499,printer,cartridge,an ink cartridge needs to be installed in a printer.,PartOf
500,printer,ink,printers often need to have the ink replaced.,PartOf
501,printer,ink,the printer ran out of ink already!?,PartOf
502,printer,ink,the printer ran out of ink and couldn't function,PartOf
503,printer,ink,"the printer, as usual, was low on ink.",PartOf
504,priority,concern,your top priority is your main concern.,Synonym
505,priority,rush,"when something at the post office needs to be rushed, it will be stamped priority.",Has-Prerequisite
506,profit,money,profit is how much money you make.,Category-Exemplar
507,prohibition,denied,prohibition denied citizens the right to drink alcohol.,Action
508,promise,keep,i intend to keep any promise i make to anyone.,Action
509,promise,keep,i keep most promises i make.,Action
510,promise,keep,i promise i will keep my children safe.,Action
511,promote,good,he gets promoted due to his good job performance.,Has-Prerequisite
512,promote,higher,my boss will promote me to a higher position after my probation period.,Result-In
513,protect,rights,the constitution is meant to protect the rights of all americans.,Function
514,prove,theory,scientists like to prove a theory.,Action
515,publicity,celebrity,a celebrity generally craves good publicity.,Thematic
516,publicity,press,the press fill us in on all the celebrity's news and publicity.,Function
517,pulse,heart,a person's pulse measures their heart rate.,Function
518,purpose,meaning,the purpose of something is its meaning for existing.,Synonym
519,purpose,reason,something's purpose is its reason for being.,Synonym
520,quick,fast,he is running fast to the bus stop to quickly get into the bus.,Synonym
521,quick,time,i cook quickly in the evening so my family has more time to eat dinner.,Time
522,radar,speeding,a police officer can detect speeding with a radar gun.,Function
523,radioactive,atoms,"when the atoms of an element break apart, it produces radioactive energy.",Result-In
524,radioactive,energy,things that are radioactive have energy in them.,HasProperty
525,radioactive,nuclear,nuclear energy uses things that are radioactive.,HasProperty
526,raspberry,jam,raspberries can be made into jam.,Material-MadeOf
527,rational,smart,you are smart if you think in a rational way.,HasProperty
528,reading,glasses,he needs his reading glasses.,Common-Phrase
529,reading,glasses,my father needs reading glasses.,Common-Phrase
530,reading,glasses,the old man had to use reading glasses as it was difficult to see up close,Common-Phrase
531,ready,start,if you say you are ready then you want to start.,Time
532,ready,time,i always try to get ready in time so i am not late.,Time
533,realistic,pragmatic,a pragmatic person looks at life in a realistic way.,Synonym
534,reality,fantasy,fantasy is the opposite of reality.,Antonym
535,reality,life,humans have to face the reality of life.,Common-Phrase
536,reality,life,reality is what happens in real life.,PartOf
537,reality,living,it is good to live in reality.,Action
538,reason,accept,his boss accepted his reason for resignation.,Action
539,reason,persuade,i need to think of a strong reason to persuade my kids to cut screening time.,Has-Prerequisite
540,record,audio,a record is a device that stores audio.,PartOf
541,record,over,don't record over my shows.,Common-Phrase
542,refreshment,drink,a refreshment can be a drink like orange soda.,Category-Exemplar
543,refreshment,drink,"i wanted to see what sort of drinks were at the party, but the refreshments were nowhere to be seen.",Category-Exemplar
544,refreshment,drink,the drinks were served to the athletes as refreshments.,Function
545,refreshment,water,water is the best refreshment on the planet.,Category-Exemplar
546,refuge,safe,"when you are given refuge, you can feel safe.",Has-Prerequisite
547,refuge,security,a refuge is a place of security.,Synonym
548,reign,king,a king reigns over his kingdom and people.,Function
549,reign,subjects,a ruler reigns over his loyal subjects.,Action
550,relationship,close,i had a close relationship with my parents.,Common-Phrase
551,report,sound,a firework with report will make a loud sound.,HasProperty
552,responsible,adult,adults have a lot of pressure to be responsible.,HasProperty
553,restaurant,food,i like eating food at many restaurants.,Location
554,restaurant,food,restaurants serve food to hungry customers.,Location
555,restaurant,food,restaurants will serve you food,Function
556,restaurant,food,the food at this restaurant is fantastic,Location
557,restaurant,food,the food served at the restaurant was bad.,Location
558,restaurant,gather,people sometimes gather at restaurants.,Location
559,retrospect,past,"when i think in retrospect, i think of things that happened in the past.",Time
560,review,evaluate,"when you review a document, you evaluate how good it is so far.",Synonym
561,roller,spin,a roller ball is made to spin.,Function
562,roman,empire,the roman empire is an ancient country.,Common-Phrase
563,roman,numerals,roman numerals are different from the arabic numerals we use now.,Common-Phrase
564,round,circle,circles are round in shape.,HasProperty
565,running,race,"at the track, athletes can be seen running in a race.",Action
566,running,race,people that race each other are normally running.,Action
567,runny,mucus,the runny implies a nose rilled with mucus,HasProperty
568,safe,fearless,"when you feel safe, you feel fearless.",Result-In
569,safe,relieved,a person gets relieved when he goes to safe place.,Result-In
570,salad,dressing,i always put dressing on my salad.,Thematic
571,salad,dressing,ranch is one of the most common salad dressing.,Common-Phrase
572,salad,dressing,sometimes i like to put a dressing on my salad.,Thematic
573,salad,dressing,the secret to a great salad is the dressing.,Emotion-Evaluation
574,salsa,spicy,salsa is usually good and spicy.,HasProperty
575,sandpaper,wood,i use sandpaper to smooth the wood before staining.,Function
576,saving,money,i am saving enough money to buy a new car.,Action
577,saving,money,i am trying to save money for a vacation.,Action
578,saving,money,saving money is essential for life.,Action
579,saving,money,the family was saving money by not eating out,Action
580,savior,christ,many people consider christ their savior.,Category-Exemplar
581,scared,ghost,most people are scared of ghost.,Emotion-Evaluation
582,scared,murder,the residents are scared of the recent murder occurred in the community.,Emotion-Evaluation
583,scout,evaluate,a scout evaluates a players skills.,Function
584,scout,investigate,"when you scout a prospect, you investigate them and their abilities.",Synonym
585,scrap,rid,when you scrap something you get rid of it,Synonym
586,senator,party,a senator belongs to a particular political party.,PartOf
587,senator,vote,one-third of the total membership of the senators get voted every two years.,Action
588,sending,receiving,the opposite of sending something is receiving something.,Antonym
589,series,string,the television series is an interesting string of happenings put together.,PartOf
590,shadowy,dark,"in the dark, everything can look shadowy.",HasProperty
591,shady,sneaky,someone who is shady acts sneaky.,Synonym
592,shady,tree,a tree with lots of leaves is shady.,Result-In
593,shaker,pepper,pepper is frequently kept in a shaker.,Location
594,shape,condition,"the shape an object is in, is the condition of it.",Synonym
595,shark,teeth,sharks uses their razor sharp teeth to tear through everything,PartOf
596,shark,teeth,the shark had very large teeth.,HasProperty
597,shark,teeth,the sharp teeth of the shark.,PartOf
598,shrivel,wither,"when a flower withers, it shrivels down in size.",Result-In
599,shrubbery,garden,i formal garden has manicured shrubbery.,Location
600,signal,indication,a signal is another word for an indication.,Synonym
601,signal,inform,a signal informs people what to do.,Function
602,signal,react,people react to the signal given.,Result-In
603,silver,spoon,i have a silver spoon from my grandmother.,Common-Phrase
604,silver,utensils,utensils are often silver colored.,HasProperty
605,simple,living,my philosophy on living is to keep everything simple.,Thematic
606,single,one,a single ice cream cone contains one scoop of ice cream.,Synonym
607,singular,one,singular means there is only one,Synonym
608,singular,one,singular means there is only one of something.,Synonym
609,singular,one,"when you have a singular object, you only have one.",Synonym
610,sister,daughter,my sister is my mother's daughter.,Same-Category
611,skill,hobby,some people have skills that they have turned into a hobby.,Result-In
612,skill,sports,some people have a high level of skill in sports.,Thematic
613,skunk,smell,"oddly enough, the skunk didn't smell.",HasProperty
614,skunk,smell,skunks are known for creating terrible smells,HasProperty
615,skunk,smell,skunks smell bad when they spray.,HasProperty
616,skunk,smell,the smell of a skunk is one of the worst odors.,HasProperty
617,skunk,smell,the smell of the skunk spray was overwhelming outside.,HasProperty
618,skunk,smell,"when a skunk sprays a person or object, the smell is strong.",HasProperty
619,sling,long,a sling is a long strap used to support a weight.,HasProperty
620,sling,support,i use an arm sling to support my broken arm.,Function
621,soldier,billy,"""one tin soldier"" was the theme song for the movie ""billy jack.""",Thematic
622,soldier,fighter,soldiers are trained fighters for war.,Category-Exemplar
623,soldier,tomb,the tomb of the unknown soldier is in arlington national cemetery.,Location
624,space,stars,i'm sure being in space means you get to see a bunch of stars.,Location
625,space,stars,space has a lot of stars in it.,PartOf
626,space,stars,space is like the house for stars.,PartOf
627,space,stars,the space is full with stars.,PartOf
628,spare,change,coins are often called spare change.,Common-Phrase
629,spare,tire,a spare tire is a common thing in a car.,Common-Phrase
630,spare,tire,he was lucky he had a spare tire.,Common-Phrase
631,spare,tire,i care a spare tire in case of a blow out.,Common-Phrase
632,spare,tire,i used my spare tire when i got a flat driving my car yesterday.,Common-Phrase
633,spare,tire,you need to have a spare tire for your car.,Common-Phrase
634,special,interesting,if something is special then it's often interesting.,Synonym
635,special,unique,something that is special is usually unique.,Synonym
636,spotted,leopard,a leopard is a spotted big cat.,HasProperty
637,stairs,floors,the stairs take you to different floors in the house.,PartOf
638,stall,car,if you don't shift correctly then your car can stall.,Action
639,stance,posture,having a good stance is the same as having good posture.,Synonym
640,standing,feet,my feet hurt when i've been standing for a long time.,Result-In
641,standing,posture,"when someone is standing, their posture can be observed.",Result-In
642,starting,first,i will be starting first thing in the morning.,Common-Phrase
643,starting,first,they first pray to god when starting the ceremony.,Time
644,starting,show,the show will be starting.,Action
645,steady,endurance,running at a steady pace shows that you have endurance.,Has-Prerequisite
646,steady,race,moving at a steady pace is a good method for running a race.,Action
647,steady,stable,"when someone is steady, they are stable on their feet.",Synonym
648,stick,match,matches are usually in stick form.,HasProperty
649,store,purchase,you can purchase many things in a store.,Location
650,story,author,authors write stories for a living.,Function
651,story,multiple,a building can have multiple stories,Common-Phrase
652,strand,thread,a strand of thread is used for sewing.,PartOf
653,strategic,calculated,a strategic plan is careful calculated.,Synonym
654,strategic,tactical,a strategic plan should be very tactical.,Synonym
655,summer,hot,in summer it gets hot.,HasProperty
656,summer,hot,in the summer it gets hot.,HasProperty
657,summer,hot,it is usually hot in the summer time,HasProperty
658,summer,hot,summer is always very hot.,HasProperty
659,support,politician,you can support a politician by putting a yard sign in your yard.,Action
660,supportive,helpful,being helpful to show you are supportive of a friend is great.,Synonym
661,surpass,beyond,surpassing somebody means going beyond their ability.,Synonym
662,surpass,beyond,we surpassed our goal beyond our biggest hopes.,Synonym
663,surpass,beyond,when you surpass a barrier you go beyond it.,Synonym
664,surpass,excel,"when a person surpasses what they're are supposed to do, they excel.",Synonym
665,surprise,birthday,people like to surprise their loved ones with a party on their birthday.,Time
666,sweet,caroline,"neil diamond had a huge hit with the song ""sweet caroline.""",Common-Phrase
667,tablet,ipad,the ipad is one of the most popular tablets.,Category-Exemplar
668,tactful,conversation,when having a conversation you have to be tactful with your words so you don't hurt anyone's feelings.,Action
669,tactful,words,"when trying to be tactful, you need to choose your words carefully.",Has-Prerequisite
670,temptation,dessert,i think dessert is a temptation for many people.,Emotion-Evaluation
671,temptation,resist,people often try to resist temptation.,Common-Phrase
672,thousand,million,a million comes after a thousand.,Same-Category
673,thousand,money,"70 thousand of dollar money, i spend the social activity",Thematic
674,thousand,money,a thousand dollars is a lot of money.,Thematic
675,thousand,money,i associated thousand with money because of a thousand dollars.,Thematic
676,thousand,years,a thousand years is a length of time.,Common-Phrase
677,throat,sore,a sore throat is associated with colds and flu.,HasProperty
678,tired,feel,i feel tired after a long day of work.,Emotion-Evaluation
679,tired,work,he is tired after working overtime for two days.,Result-In
680,total,all,the total number of an object includes all of them.,Synonym
681,tradition,jimmy,"many people have the tradition at christmas time of watching ""it's a wonderful life"" with jimmy stewart.",Thematic
682,trial,verdict,a trial has the outcome of a verdict.,Result-In
683,truth,honest,someone who tells the truth is honest.,Synonym
684,twist,cap,you twist the cap off a bottle.,Action
685,understand,language,when someone speaks a second language they understand it.,Action
686,utilize,advantage,the team utilized their height advantage to win the game.,Action
687,utilize,advantage,utilize or take advantage of the tools you have.,Synonym
688,vacation,chevy,"chevy chase starred in a move called ""vacation.""",Thematic
689,vacuum,noisy,a vacuum is noisy when it is working.,HasProperty
690,vampire,sharp,a vampire has two sharp teeth.,HasProperty
691,vampire,sunlight,a vampire is afraid of being exposed to sunlight.,Thematic
692,vegetation,food,vegetation is grown to make food for humans.,Function
693,vegetation,water,the process of vegetation requires supply of water.,Has-Prerequisite
694,violate,breach ,"when a building is breached, someone has violated the safety blocks.",Synonym
695,vivid,bright,"when a photo is vivid, the colors are very bright.",HasProperty
696,volcano,helens,mt. st. helens is a well-known volcano in washington.,Category-Exemplar
697,waste,bad,he has a bad habit of wasting food.,Emotion-Evaluation
698,waste,money,i do not like wasting money on unnecessary things.,Action
699,weekend,break,the weekend is a short break from work.,Time
700,weekend,yardwork,"this weekend, i will do yardwork.",Time
701,weeping,sad,a person that is weeping is very sad.,Result-In
702,weeping,sad,if someone is weeping they are likely sad.,Category-Exemplar
703,weeping,sad,"if someone is weeping, it's because they are sad.",Result-In
704,weeping,sad,if you are very sad you might start weeping.,Result-In
705,weeping,willow,a weeping willow is a tree.,Common-Phrase
706,weeping,willow,a weeping willow is a type of tree,Common-Phrase
707,weeping,willow,a weeping willow is a type of tree.,Common-Phrase
708,weeping,willow,i have a weeping willow tree in the front yard.,Common-Phrase
709,weirdo,unique,a weirdo is a unique person.,HasProperty
710,woman,breasts,a woman has breasts that are typically larger than a man.,PartOf
711,woman,pregnancy,a woman goes to the doctor during her pregnancy.,HasProperty
712,wonder,awe,"if you are in wonder of something, you are in awe of it.",Synonym
713,wonder,contemplate,to wonder about something means that someone is contemplating.,Synonym
714,working,computer,most working people use a computer for many hours during the day.,Function
715,worried,scared,"when someone is worried about something, they are usually scared about that particular subject.",Synonym
716,worry,weather,many people worry about the weather for different reasons.,Emotion-Evaluation
717,wounds,heal,"with time, most wounds heal.",Action
718,wrath,punishment,"when parents give their child a punishment, the child is feeling the parents' wrath.",Emotion-Evaluation
719,writing,book,she ha been writing her book for four years but still had much research to do.,Action
720,writing,book,sometimes people write so they can write a book,Action
721,writing,book,the author was writing a new book that was going to be 300 pages,Action
722,writing,book,the book i'm writing won't be done for a long time.,Action
723,writing,essay,she starts writing an essay for her college enrollment.,Action
724,yelling,loud,if someone is yelling then they're loud.,HasProperty
725,absent,present,present is the opposite of absent,Antonym
726,absent,present,present is the opposite of absent.,Antonym
727,absent,missing,absent is the synonym of the missing,Synonym
728,absent,present,the opposite of absent is present.,Antonym
729,absolute,vodka,absolute is a type of vodka though spelled differently,Category-Exemplar
730,absolutely,totally,absolutely has a similar meaning as totally.,Synonym
731,absolutely,utterly,absolutely has a similar meaning as utterly.,Synonym
732,abstract,summary,an abstract can be said to be the summary of a publication.,Category-Exemplar
733,abstract,concrete,abstract is the opposite of concrete.,Antonym
734,access,allow,to access something you often need to be allowed.,Has-Prerequisite
735,access,entry,access is a synonym for entry.,Synonym
736,actually,truly,actually is a synonym for truly.,Synonym
737,additive,addition ,additive is synonym of the addition,Synonym
738,adept,skillful,adept is a synonym for skillful.,Synonym
739,advantage,disadvantage,advantage is the opposite of disadvantage.,Antonym
740,advantage,edge,advantage has a similar meaning as edge.,Synonym
741,advertise,webads,webads are a form of online advertisement,Category-Exemplar
742,advertise,marketing,advertising is a key part of marketing.,PartOf
743,afraid,frightened,afraid and frightened mean the same thing.,Synonym
744,agreeable,disagreeable,the opposite of agreeable is disagreeable.,Antonym
745,ahead,behind,behind is the opposite of ahead.,Antonym
746,alien,space,aliens live on other planets in space.,Location
747,alien,space,an alien comes from outer space.,Location
748,alien,space,an alien might come from outer space.,Location
749,alien,space,there probably are aliens in outer space.,Location
750,ammunition,bullets,bullets are a type of ammunition.,Category-Exemplar
751,anger,aggression ,anger is the synonym of the aggression,Synonym
752,anger,ire,anger is a synonym for ire.,Synonym
753,anger,rage,rage is another word to describe extreme anger,Synonym
754,angled,fished,angled is another word for fished.,Synonym
755,angles,gradient,angle has a similar meaning as gradient.,Synonym
756,angles,slant,angle has a similar meaning as slant.,Synonym
757,animal,pet,animals in the household are considered pets.,Function
758,animal,bird,a bird is a type of animal.,Category-Exemplar
759,animal,cat,a cat is a common type of animal.,Category-Exemplar
760,animal,mammal,a mammal is a type of animal.,Category-Exemplar
761,animal,beast,animal defined as the beast,Synonym
762,annually,yearly,annually has a similar meaning as yearly.,Synonym
763,apart,together,together is the opposite of apart.,Antonym
764,apartment,furnished,the apartment was expensive because it was fully furnished.,HasProperty
765,apartment,small,apartments can sometimes be small.,HasProperty
766,apartment,dwelling,an apartment is a type of dwelling.,Category-Exemplar
767,apartment,flat,apartment has a similar meaning as flat.,Synonym
768,apple,green,he bit into the green apple.,HasProperty
769,apple,red,the red apple fell off the tree.,HasProperty
770,apple,fruit,an apple is a kind of fruit.,Category-Exemplar
771,apple,fruit,an apple is a sweet fruit.,Category-Exemplar
772,apple,fruit,an apple is a type of fruit.,Category-Exemplar
773,apple,fruit,an apple is one of the most common fruits in the world,Category-Exemplar
774,apple,fruit,apple is a delicious type of fruit.,Category-Exemplar
775,apple,fruit,apple is a sweet fruit.,Category-Exemplar
776,apple,green,i like to eat green apple more.,HasProperty
777,apple,red,he ate the red apple.,HasProperty
778,argument,debate,an argument is a form of debate with opposing views.,Category-Exemplar
779,arouse,sex,"to have sex, i need to be aroused.",Has-Prerequisite
780,assistance,social benefits,social benefits is a type of assistance that is needed.,Category-Exemplar
781,attend,accompany,attend is the synonym of the accompany,Synonym
782,attend,miss,"if you missed the festival, you did not attend it.",Antonym
783,avoid,confront,avoid is the opposite of confront.,Antonym
784,aware,enlightened,aware has a similar meaning as enlightened.,Synonym
785,aware,knowledgeable,aware has a similar meaning as knowledgeable.,Synonym
786,awful,good,awful is the opposite of good.,Antonym
787,bathroom,clean,bathrooms need to be cleaned frequently.,Has-Prerequisite
788,battle,fight,a fight is a part of a battle.,PartOf
789,battle,war,a battle is a smaller part of a war.,PartOf
790,battle,war,war is another word for battle.,Synonym
791,beautiful,handsome,beautiful has a similar meaning as handsome.,Synonym
792,bedroom,bed,bedrooms have a bed for you to sleep in.,PartOf
793,bedroom,bed,i went to my bedroom to lay on my bed.,PartOf
794,beginning,end,the opposite of beginning is end.,Antonym
795,believable,credible,believable has a similar meaning as credible.,Synonym
796,believable,likely,believable has a similar meaning as likely.,Synonym
797,belong,consist,belong is also defined to the consist.,Synonym
798,beret,hat,a beret is a type of hat.,Category-Exemplar
799,bicycle,pedal,a bicycle has two pedals.,PartOf
800,bicycle,ride,i last week bicycle ride with my friends,Function
801,bicycle,ride,you can take your bicycle for a ride,Function
802,bicycle,street,there are many bicycles in the street.,Location
803,bicycle,cycling,cycling to work on my bicycle can be tough in heavy rain.,Function
804,biggest,smallest,biggest is the opposite of smallest.,Antonym
805,blaster,gun,a blaster is a type of gun,Category-Exemplar
806,blemish,spot,"a blemish is any type of mark, spot, discoloration, or flaw that appears on the skin.",Category-Exemplar
807,blender,kitchen,in my kitchen i have many blender,Location
808,blender,mix,i use the blender to mix ingredients.,Function
809,bless,praise,bless has a similar meaning as praise.,Synonym
810,bless,worship,bless has a similar meaning as worship.,Synonym
811,board,wood,the board is made out of a rare wood.,Material-MadeOf
812,bottle,container,"a bottle is a container, containing something.",Category-Exemplar
813,bottle,container,a bottle is a type of container.,Category-Exemplar
814,bottle,transparent,bottles are usually transparent because they are made of glass,HasProperty
815,bottle,glass,bottles are usually made of glass,Material-MadeOf
816,bottle,glass,most bottles are made of glass as the main material,Material-MadeOf
817,brave,animals,animals need to be brave when dealing with their enemies.,Has-Prerequisite
818,bridge,connect,a bridge connects two pieces of land,Function
819,bridge,connect,bridges connect two pieces of land separated by water.,Function
820,bridge,connect,the bridge is what connect the two mega cities.,Function
821,bridge,construction,the construction of the bridge has started.,Category-Exemplar
822,bridge,long,the bridge is too long to be completed soon.,HasProperty
823,bridge,transport,transportation is the important thing in bridge,Function
824,bucket,container,a bucket is a type of container.,Category-Exemplar
825,buddy,boyfriend,buddy is defined as the boyfriend,Synonym
826,build,cars,cars need to be built from scratch.,Has-Prerequisite
827,build,construct,build is the synonym of the construct.,Synonym
828,build,create,build is the synonym of the create,Synonym
829,building,brick,the brick building was sturdy and tall.,Material-MadeOf
830,building,cement,all building are make cement,Material-MadeOf
831,building,tall,many buildings downtown are tall.,HasProperty
832,building,tall,the building is very tall.,HasProperty
833,building,tall,the building was tall and overshadowed the smaller ones around it.,HasProperty
834,building,wood,wood is often used to make a building.,Material-MadeOf
835,bullet,kill,a bullet can kill someone.,Function
836,bullet,round,a bullet is often referred to as a round.,HasProperty
837,bullet,shooting,bullets are involved in a shooting.,Function
838,bullet,slug,bullet is the another word of slug,Synonym
839,bunch,clump,bunch has a similar meaning as clump.,Synonym
840,bunch,group,bunch has a similar meaning as group.,Synonym
841,business,stockpile,businesses need to stockpile some goods for selling,Has-Prerequisite
842,business,occupation,business has a similar meaning as occupation.,Synonym
843,business,profession,business has a similar meaning as profession.,Synonym
844,cafeteria,school,every school has a cafeteria for the kids to eat lunch in,Location
845,cafeteria,school,most schools have a cafeteria where students can purchase a hot or cold lunch.,Location
846,cafeteria,school,the cafeteria at any school is a social melting pot,Location
847,cafeteria,school,the school cafeteria was clean and bright.,Location
848,camera,picture,the camera took a black and white picture,Function
849,camera,picture,you can take many pictures with a camera.,Function
850,camera,lens,the camera lens was very dirty.,HasProperty
851,camera,videos,the videos captured by the camera were of poor quality.,Function
852,carpet,dirty,carpets get very dirty over time.,HasProperty
853,carpet,dirty,the carpet is dirty and needed to be cleaned.,HasProperty
854,carpet,fur,some carpets can be bought that are made of fur,Material-MadeOf
855,chair,office,you have many chairs in the office,Location
856,chair,bench,a bench is a longer type of chair for people to sit on.,Category-Exemplar
857,chair,wood,a lot of chairs are typically made of wood.,Material-MadeOf
858,champagne,france,champagne is a region in france,PartOf
859,champagne,bubbly,champagne is bubbly when you first open and pour,HasProperty
860,champagne,bubbly,champagne is looks like bubbly,HasProperty
861,champagne,sparkling,champagne is a sparkling wine,HasProperty
862,chanting,prayer,chanting can be a form of prayer in some religions.,Category-Exemplar
863,charity,love,showing charity to the needy is synonyms to showing them love,Synonym
864,cheap,expensive,the opposite of cheap is expensive.,Antonym
865,check,bank,checks are taken to the bank.,Location
866,chest,box,a chest is a special type of box.,Category-Exemplar
867,chest,body,the chest is a very important part of the body.,PartOf
868,chickadee,bird,a chickadee is a bird.,Category-Exemplar
869,chickadee,bird,a chickadee is a type of bird.,Category-Exemplar
870,chickadee,bird,the chickadee is a bird of flight.,Category-Exemplar
871,chickadee,bird,the girl enjoyed learning about birds and she found the chickadee to be adorable,Category-Exemplar
872,chickadee,small,a chickadee is a small bird.,HasProperty
873,chickadee,small,chickadees are one of the smallest animals.,HasProperty
874,chickadee,small,chickadees tend to be quite small.,HasProperty
875,children,school,children need to attend school.,Has-Prerequisite
876,children,family,children are usually part of a family.,PartOf
877,choke,abuse,"if you choke someone, that is a form of abuse",Category-Exemplar
878,choke,suffocate,choke is also defined as the suffocate,Synonym
879,cholesterol,fat,cholesterol is a type of fat.,Category-Exemplar
880,cholesterol,medication,if your cholesterol is too high you might need to take medication for it.,Has-Prerequisite
881,clean,dirty,when your home is dirty you need to clean it up.,Has-Prerequisite
882,clear,transparent,clear has a similar meaning as transparent.,Synonym
883,cleft,horse,cleft is a type of horse disease.,Category-Exemplar
884,climber,mountain,a climber can be seen hiking on a mountain.,Location
885,climber,mountain,a mountain is climbed by a climber,Location
886,climber,mountain,the climber ascended the mountain slowly.,Location
887,climber,mountain,the climber got to the top of the mountain.,Location
888,clock,wall,a clock can hang on a wall,Location
889,clock,wall,clocks sometimes hang on the wall.,Location
890,clock,wall,most walls have a clock on them.,Location
891,clock,alarm,i set a alarm in the clock,Function
892,clock,watch,i saw a watch it was round clock,Same-Category
893,closed,open,a door can be open or closed.,Antonym
894,closed,open,the opposite of something being closed is when it's open.,Antonym
895,closer,farther,closer is the opposite of farther.,Antonym
896,closer,nearer,closer is a synonym for nearer.,Synonym
897,clothing,dress,dress and dresses are part of clothing accessories.,PartOf
898,clove,plant,clove can also mean a form of plant.,Category-Exemplar
899,coffee,caffeine,coffee usually has a lot of caffeine in it,PartOf
900,coffee,caffeine,the caffeine in the coffee made my stomach hurt.,PartOf
901,coffee,bitter,"when you drink coffee straight without any sugar or cream, it tastes bitter.",HasProperty
902,combination,compound,combination is the another word of compound,Synonym
903,commander,boss,commander has a similar meaning as boss.,Synonym
904,commander,leader,commander has a similar meaning as leader.,Synonym
905,comment,opinion,comment is the synonym of the opinion,Synonym
906,commitment,relationship,commitment is an important part of a relationship.,PartOf
907,community,church,the local church in the community needed help fixing its roof.,Location
908,community,people,people are part of a community.,PartOf
909,community,town,a community is part of a town.,PartOf
910,complicated,simple,simple is the opposite of complicated.,Antonym
911,comrade,family,a comrade is a person that is part of the family.,PartOf
912,concede,admit,concede has a similar meaning as admit.,Synonym
913,conceited,egotistical,conceited has a similar meaning as egotistical.,Synonym
914,conceited,vain,conceited has a similar meaning as vain.,Synonym
915,confused,befuddled,confused is a synonym for befuddled.,Synonym
916,conundrum,riddle ,a riddle is a type of conundrum.,Category-Exemplar
917,conundrum,problem,conundrum is a synonym for problem.,Synonym
918,cordial,friendly,cordial has a similar meaning as friendly.,Synonym
919,corner,square,the corner is based to the part of square.,PartOf
920,cornucopia,profusion,cornucopia is also defined as the profusion,Synonym
921,corny,banal,corny has a similar meaning as banal.,Synonym
922,corny,vapid,corny has a similar meaning to vapid.,Synonym
923,correct,right,correct is a synonym for right.,Synonym
924,cotton,cloth,my cloth is mostly made of cotton.,Material-MadeOf
925,counsel,therapy,"when you seek therapy, you need to be counseled.",Has-Prerequisite
926,counsel,advice,counsel is a synonym for advice.,Synonym
927,counterfeit,false,counterfeit is a synonym for false.,Synonym
928,cover,blanket,a blanket is a type of cover.,Category-Exemplar
929,cowgirl,western,a cowgirl would usually be found in the western part of the us.,Location
930,cream,colour,cream is a type of colour.,Category-Exemplar
931,cream,dessert,desserts often feature some type of cream.,Category-Exemplar
932,credit,income,credit needs to be established with income.,Has-Prerequisite
933,critical,reproving,critical has a similar meaning as reproving.,Synonym
934,critical,scathing,critical has a similar meaning as scathing.,Synonym
935,crush,press,crush has a similar meaning as press.,Synonym
936,crush,squash,crush has a similar meaning as squash.,Synonym
937,crying,sadness,when you are full of sadness sometimes you just need to cry.,Has-Prerequisite
938,crying,sob,cry has a similar meaning as sob.,Synonym
939,crying,weep,cry has a similar meaning as weep.,Synonym
940,crystal,chandelier,there are many fancy chandeliers made of crystal.,Material-MadeOf
941,danger,threat,"sometimes, a threat can be a type of danger.",Category-Exemplar
942,darkness,vampires,vampires like living in the darkness,Location
