,cue,association,explanation,relation,source
3810,mommy,daughter,a daughter often wants their mommy,thematic,fillin
3811,mommy,woman,a woman often wants their mommy,thematic,fillin
3812,mommy,son,a son often wants their mommy,thematic,fillin
3813,mommy,daddy,a mommy and a daddy are often a child's parents.,members-of-the-same-category,fillin
3814,mommy,dad,a mommy and a dad are often a child's parents.,members-of-the-same-category,fillin
3815,mommy,papa,a mommy and a papa are often a child's parents.,members-of-the-same-category,fillin
3816,mommy,baby,a mommy and a baby are often a child's parents.,members-of-the-same-category,fillin
3817,mommy,father,a mommy and a father are often a child's parents.,members-of-the-same-category,fillin
3818,mommy,boy,a mommy and a boy are often a child's parents.,members-of-the-same-category,fillin
3819,mommy,mama,a mommy and a mama are often a child's parents.,members-of-the-same-category,fillin
3820,mommy,grandma,a mommy and a grandma are often a child's parents.,members-of-the-same-category,fillin
3821,mommy,grandpa,a mommy and a grandpa are often a child's parents.,members-of-the-same-category,fillin
3822,mommy,daddy,a mommy and a daddy are often a child's parents,members-of-the-same-category,fillin
3823,mommy,dad,a mommy and a dad are often a child's parents,members-of-the-same-category,fillin
3824,mommy,baby,a mommy and a baby are often a child's parents,members-of-the-same-category,fillin
3825,mommy,papa,a mommy and a papa are often a child's parents,members-of-the-same-category,fillin
3826,mommy,boy,a mommy and a boy are often a child's parents,members-of-the-same-category,fillin
3827,mommy,father,a mommy and a father are often a child's parents,members-of-the-same-category,fillin
3828,mommy,mama,a mommy and a mama are often a child's parents,members-of-the-same-category,fillin
3829,mommy,grandpa,a mommy and a grandpa are often a child's parents,members-of-the-same-category,fillin
3830,mommy,grandma,a mommy and a grandma are often a child's parents,members-of-the-same-category,fillin
3831,month,january,independence day is in the month of january.,category-exemplar-pairs,fillin
3832,month,april,independence day is in the month of april.,category-exemplar-pairs,fillin
3833,month,march,independence day is in the month of march.,category-exemplar-pairs,fillin
3834,month,december,independence day is in the month of december.,category-exemplar-pairs,fillin
3835,month,february,independence day is in the month of february.,category-exemplar-pairs,fillin
3836,month,october,independence day is in the month of october.,category-exemplar-pairs,fillin
3837,month,november,independence day is in the month of november.,category-exemplar-pairs,fillin
3838,month,august,independence day is in the month of august.,category-exemplar-pairs,fillin
3839,month,september,independence day is in the month of september.,category-exemplar-pairs,fillin
3840,month,march,independence day is in the month of march,category-exemplar-pairs,fillin
3841,month,january,independence day is in the month of january,category-exemplar-pairs,fillin
3842,month,april,independence day is in the month of april,category-exemplar-pairs,fillin
3843,month,february,independence day is in the month of february,category-exemplar-pairs,fillin
3844,month,october,independence day is in the month of october,category-exemplar-pairs,fillin
3845,month,november,independence day is in the month of november,category-exemplar-pairs,fillin
3846,month,december,independence day is in the month of december,category-exemplar-pairs,fillin
3847,month,september,independence day is in the month of september,category-exemplar-pairs,fillin
3848,month,august,independence day is in the month of august,category-exemplar-pairs,fillin
3849,mountain,fuji,mt. fuji is a famous mountain in japan.,category-exemplar-pairs,fillin
3850,mountain,mori,mt. mori is a famous mountain in japan.,category-exemplar-pairs,fillin
3851,mountain,asahi,mt. asahi is a famous mountain in japan.,category-exemplar-pairs,fillin
3852,mountain,mono,mt. mono is a famous mountain in japan.,category-exemplar-pairs,fillin
3853,mountain,meiji,mt. meiji is a famous mountain in japan.,category-exemplar-pairs,fillin
3854,mountain,olympus,mt. olympus is a famous mountain in japan.,category-exemplar-pairs,fillin
3855,mountain,tai,mt. tai is a famous mountain in japan.,category-exemplar-pairs,fillin
3856,mountain,kenya,mt. kenya is a famous mountain in japan.,category-exemplar-pairs,fillin
3857,mountain,ama,mt. ama is a famous mountain in japan.,category-exemplar-pairs,fillin
3858,mountain,fuji,mt. fuji is a famous mountain in japan,category-exemplar-pairs,fillin
3859,mountain,everest,mt. everest is a famous mountain in japan,category-exemplar-pairs,fillin
3860,mountain,olympus,mt. olympus is a famous mountain in japan,category-exemplar-pairs,fillin
3861,mountain,meiji,mt. meiji is a famous mountain in japan,category-exemplar-pairs,fillin
3862,mountain,mono,mt. mono is a famous mountain in japan,category-exemplar-pairs,fillin
3863,mountain,mori,mt. mori is a famous mountain in japan,category-exemplar-pairs,fillin
3864,mountain,tokyo,mt. tokyo is a famous mountain in japan,category-exemplar-pairs,fillin
3865,mountain,asahi,mt. asahi is a famous mountain in japan,category-exemplar-pairs,fillin
3866,mountain,tai,mt. tai is a famous mountain in japan,category-exemplar-pairs,fillin
3867,movies,true,movies are true stories about life.,hasproperty,fillin
3868,movies,telling,movies are telling stories about life.,hasproperty,fillin
3869,movies,real,movies are real stories about life.,hasproperty,fillin
3870,movies,short,movies are short stories about life.,hasproperty,fillin
3871,movies,good,movies are good stories about life.,hasproperty,fillin
3872,movies,true,movies are true stories about life,hasproperty,fillin
3873,movies,real,movies are real stories about life,hasproperty,fillin
3874,movies,actually,movies are actually stories about life,hasproperty,fillin
3875,movies,short,movies are short stories about life,hasproperty,fillin
3876,movies,fictional,movies are fictional stories about life,hasproperty,fillin
3877,obstruct,plans,i will not let anyone obstruct my plans.,action,fillin
3878,obstruct,work,i will not let anyone obstruct my work.,action,fillin
3879,obstruct,path,i will not let anyone obstruct my path.,action,fillin
3880,obstruct,mission,i will not let anyone obstruct my mission.,action,fillin
3881,obstruct,thoughts,i will not let anyone obstruct my thoughts.,action,fillin
3882,obstruct,dreams,i will not let anyone obstruct my dreams.,action,fillin
3883,obstruct,life,i will not let anyone obstruct my life.,action,fillin
3884,obstruct,progress,i will not let anyone obstruct my progress.,action,fillin
3885,obstruct,vision,i will not let anyone obstruct my vision.,action,fillin
3886,obstruct,journey,i will not let anyone obstruct my journey.,action,fillin
3887,obstruct,work,i will not let anyone obstruct my work,action,fillin
3888,obstruct,life,i will not let anyone obstruct my life,action,fillin
3889,obstruct,plans,i will not let anyone obstruct my plans,action,fillin
3890,obstruct,business,i will not let anyone obstruct my business,action,fillin
3891,obstruct,thoughts,i will not let anyone obstruct my thoughts,action,fillin
3892,obstruct,decisions,i will not let anyone obstruct my decisions,action,fillin
3893,obstruct,mission,i will not let anyone obstruct my mission,action,fillin
3894,obstruct,activities,i will not let anyone obstruct my activities,action,fillin
3895,obstruct,duties,i will not let anyone obstruct my duties,action,fillin
3896,obstruct,wishes,i will not let anyone obstruct my wishes,action,fillin
3897,operator,phone,you used to be able to talk to an operator on the phone.,thematic,fillin
3898,operator,radio,you used to be able to talk to an operator on the radio.,thematic,fillin
3899,operator,telephone,you used to be able to talk to an operator on the telephone.,thematic,fillin
3900,operator,line,you used to be able to talk to an operator on the line.,thematic,fillin
3901,operator,ship,you used to be able to talk to an operator on the ship.,thematic,fillin
3902,operator,air,you used to be able to talk to an operator on the air.,thematic,fillin
3903,operator,ground,you used to be able to talk to an operator on the ground.,thematic,fillin
3904,operator,street,you used to be able to talk to an operator on the street.,thematic,fillin
3905,operator,plane,you used to be able to talk to an operator on the plane.,thematic,fillin
3906,operator,station,you used to be able to talk to an operator on the station.,thematic,fillin
3907,operator,phone,you used to be able to talk to an operator on the phone,thematic,fillin
3908,operator,line,you used to be able to talk to an operator on the line,thematic,fillin
3909,operator,telephone,you used to be able to talk to an operator on the telephone,thematic,fillin
3910,operator,network,you used to be able to talk to an operator on the network,thematic,fillin
3911,operator,internet,you used to be able to talk to an operator on the internet,thematic,fillin
3912,operator,radio,you used to be able to talk to an operator on the radio,thematic,fillin
3913,operator,computer,you used to be able to talk to an operator on the computer,thematic,fillin
3914,operator,machine,you used to be able to talk to an operator on the machine,thematic,fillin
3915,operator,fly,you used to be able to talk to an operator on the fly,thematic,fillin
3916,operator,screen,you used to be able to talk to an operator on the screen,thematic,fillin
3917,operator,jackson,"jackson sang the song "" smooth operator. """,thematic,fillin
3918,operator,williams,"williams sang the song "" smooth operator. """,thematic,fillin
3919,operator,jones,"jones sang the song "" smooth operator. """,thematic,fillin
3920,operator,brown,"brown sang the song "" smooth operator. """,thematic,fillin
3921,operator,madonna,"madonna sang the song "" smooth operator. """,thematic,fillin
3922,operator,beyonce,"beyonce sang the song "" smooth operator. """,thematic,fillin
3923,operator,rihanna,"rihanna sang the song "" smooth operator. """,thematic,fillin
3924,operator,victim,"if someone is an operator of something, then they're a victim of it.",synonym,fillin
3925,operator,creator,"if someone is an operator of something, then they're a creator of it.",synonym,fillin
3926,operator,user,"if someone is an operator of something, then they're a user of it.",synonym,fillin
3927,operator,controller,"if someone is an operator of something, then they're a controller of it.",synonym,fillin
3928,operator,designer,"if someone is an operator of something, then they're a designer of it.",synonym,fillin
3929,operator,master,"if someone is an operator of something, then they're a master of it.",synonym,fillin
3930,operator,driver,"if someone is an operator of something, then they're a driver of it.",synonym,fillin
3931,operator,generator,"if someone is an operator of something, then they're a generator of it.",synonym,fillin
3932,operator,product,"if someone is an operator of something, then they're a product of it.",synonym,fillin
3933,operator,synonym,"if someone is an operator of something, then they're a synonym of it",synonym,fillin
3934,operator,member,"if someone is an operator of something, then they're a member of it",synonym,fillin
3935,operator,constituent,"if someone is an operator of something, then they're a constituent of it",synonym,fillin
3936,operator,subject,"if someone is an operator of something, then they're a subject of it",synonym,fillin
3937,operator,product,"if someone is an operator of something, then they're a product of it",synonym,fillin
3938,operator,user,"if someone is an operator of something, then they're a user of it",synonym,fillin
3939,operator,generator,"if someone is an operator of something, then they're a generator of it",synonym,fillin
3940,operator,contraction,"if someone is an operator of something, then they're a contraction of it",synonym,fillin
3941,operator,function,"if someone is an operator of something, then they're a function of it",synonym,fillin
3942,opinions,conflict,"sometimes when people state their opinions, it can lead to a conflict.",result-in,fillin
3943,opinions,debate,"sometimes when people state their opinions, it can lead to a debate.",result-in,fillin
3944,opinions,dispute,"sometimes when people state their opinions, it can lead to a dispute.",result-in,fillin
3945,opinions,controversy,"sometimes when people state their opinions, it can lead to a controversy.",result-in,fillin
3946,opinions,fight,"sometimes when people state their opinions, it can lead to a fight.",result-in,fillin
3947,opinions,problem,"sometimes when people state their opinions, it can lead to a problem.",result-in,fillin
3948,opinions,reaction,"sometimes when people state their opinions, it can lead to a reaction.",result-in,fillin
3949,opinions,riot,"sometimes when people state their opinions, it can lead to a riot.",result-in,fillin
3950,opinions,lawsuit,"sometimes when people state their opinions, it can lead to a lawsuit.",result-in,fillin
3951,opinions,disagreement,"sometimes when people state their opinions, it can lead to a disagreement.",result-in,fillin
3952,opinions,discussion,"sometimes when people state their opinions, it can lead to a discussion",result-in,fillin
3953,opinions,disagreement,"sometimes when people state their opinions, it can lead to a disagreement",result-in,fillin
3954,opinions,conflict,"sometimes when people state their opinions, it can lead to a conflict",result-in,fillin
3955,opinions,relationship,"sometimes when people state their opinions, it can lead to a relationship",result-in,fillin
3956,opinions,response,"sometimes when people state their opinions, it can lead to a response",result-in,fillin
3957,opinions,conversation,"sometimes when people state their opinions, it can lead to a conversation",result-in,fillin
3958,opinions,debate,"sometimes when people state their opinions, it can lead to a debate",result-in,fillin
3959,opinions,reaction,"sometimes when people state their opinions, it can lead to a reaction",result-in,fillin
3960,opinions,decision,"sometimes when people state their opinions, it can lead to a decision",result-in,fillin
3961,opinions,difference,"sometimes when people state their opinions, it can lead to a difference",result-in,fillin
3962,order,wine,a lot of people order wine with their meals.,action,fillin
3963,order,coffee,a lot of people order coffee with their meals.,action,fillin
3964,order,food,a lot of people order food with their meals.,action,fillin
3965,order,pizza,a lot of people order pizza with their meals.,action,fillin
3966,order,food,a lot of people order food with their meals,action,fillin
3967,order,wine,a lot of people order wine with their meals,action,fillin
3968,order,pizza,a lot of people order pizza with their meals,action,fillin
3969,order,meat,a lot of people order meat with their meals,action,fillin
3970,organization,group,a group can also be called an organization.,synonym,fillin
3971,organization,corporation,a corporation can also be called an organization.,synonym,fillin
3972,organization,company,a company can also be called an organization.,synonym,fillin
3973,organization,community,a community can also be called an organization.,synonym,fillin
3974,organization,federation,a federation can also be called an organization.,synonym,fillin
3975,organization,team,a team can also be called an organization.,synonym,fillin
3976,organization,society,a society can also be called an organization.,synonym,fillin
3977,organization,system,a system can also be called an organization.,synonym,fillin
3978,organization,party,a party can also be called an organization.,synonym,fillin
3979,organization,firm,a firm can also be called an organization.,synonym,fillin
3980,organization,group,a group can also be called an organization,synonym,fillin
3981,organization,person,a person can also be called an organization,synonym,fillin
3982,organization,class,a class can also be called an organization,synonym,fillin
3983,organization,corporation,a corporation can also be called an organization,synonym,fillin
3984,organization,system,a system can also be called an organization,synonym,fillin
3985,organization,company,a company can also be called an organization,synonym,fillin
3986,organization,community,a community can also be called an organization,synonym,fillin
3987,organization,society,a society can also be called an organization,synonym,fillin
3988,organization,concept,a concept can also be called an organization,synonym,fillin
3989,organization,state,a state can also be called an organization,synonym,fillin
3990,outspoken,negatively,people who are outspoken often speak negatively.,hasproperty,fillin
3991,outspoken,louder,people who are outspoken often speak louder.,hasproperty,fillin
3992,outspoken,freely,people who are outspoken often speak freely.,hasproperty,fillin
3993,outspoken,loudly,people who are outspoken often speak loudly.,hasproperty,fillin
3994,outspoken,publicly,people who are outspoken often speak publicly.,hasproperty,fillin
3995,outspoken,quietly,people who are outspoken often speak quietly.,hasproperty,fillin
3996,outspoken,english,people who are outspoken often speak english.,hasproperty,fillin
3997,outspoken,positively,people who are outspoken often speak positively.,hasproperty,fillin
3998,outspoken,english,people who are outspoken often speak english,hasproperty,fillin
3999,outspoken,freely,people who are outspoken often speak freely,hasproperty,fillin
4000,outspoken,publicly,people who are outspoken often speak publicly,hasproperty,fillin
4001,outspoken,informally,people who are outspoken often speak informally,hasproperty,fillin
4002,outspoken,loudly,people who are outspoken often speak loudly,hasproperty,fillin
4003,outspoken,frankly,people who are outspoken often speak frankly,hasproperty,fillin
4004,outspoken,quietly,people who are outspoken often speak quietly,hasproperty,fillin
4005,outspoken,negatively,people who are outspoken often speak negatively,hasproperty,fillin
4006,outspoken,french,people who are outspoken often speak french,hasproperty,fillin
4007,outspoken,wrong,if someone is outspoken they are often wrong in their beliefs.,hasproperty,fillin
4008,outspoken,mistaken,if someone is outspoken they are often mistaken in their beliefs.,hasproperty,fillin
4009,outspoken,conservative,if someone is outspoken they are often conservative in their beliefs.,hasproperty,fillin
4010,outspoken,firm,if someone is outspoken they are often firm in their beliefs.,hasproperty,fillin
4011,outspoken,incorrect,if someone is outspoken they are often incorrect in their beliefs.,hasproperty,fillin
4012,outspoken,lax,if someone is outspoken they are often lax in their beliefs.,hasproperty,fillin
4013,outspoken,correct,if someone is outspoken they are often correct in their beliefs.,hasproperty,fillin
4014,outspoken,sincere,if someone is outspoken they are often sincere in their beliefs.,hasproperty,fillin
4015,outspoken,justified,if someone is outspoken they are often justified in their beliefs.,hasproperty,fillin
4016,outspoken,religious,if someone is outspoken they are often religious in their beliefs,hasproperty,fillin
4017,outspoken,consistent,if someone is outspoken they are often consistent in their beliefs,hasproperty,fillin
4018,outspoken,inconsistent,if someone is outspoken they are often inconsistent in their beliefs,hasproperty,fillin
4019,outspoken,wrong,if someone is outspoken they are often wrong in their beliefs,hasproperty,fillin
4020,outspoken,mistaken,if someone is outspoken they are often mistaken in their beliefs,hasproperty,fillin
4021,outspoken,different,if someone is outspoken they are often different in their beliefs,hasproperty,fillin
4022,outspoken,correct,if someone is outspoken they are often correct in their beliefs,hasproperty,fillin
4023,outspoken,strict,if someone is outspoken they are often strict in their beliefs,hasproperty,fillin
4024,outspoken,conservative,if someone is outspoken they are often conservative in their beliefs,hasproperty,fillin
4025,outspoken,shared,if someone is outspoken they are often shared in their beliefs,hasproperty,fillin
4026,overdue,books,books can be overdue at the library.,time,fillin
4027,overdue,tickets,tickets can be overdue at the library.,time,fillin
4028,overdue,donations,donations can be overdue at the library.,time,fillin
4029,overdue,books,books can be overdue at the library,time,fillin
4030,overdue,items,items can be overdue at the library,time,fillin
4031,overdue,visitors,visitors can be overdue at the library,time,fillin
4032,overdue,students,students can be overdue at the library,time,fillin
4033,overdue,people,people can be overdue at the library,time,fillin
4034,overdue,cards,cards can be overdue at the library,time,fillin
4035,overdue,entries,entries can be overdue at the library,time,fillin
4036,overdue,titles,titles can be overdue at the library,time,fillin
4037,overdue,fee,"if a book is overdue at the library, you pay a fee.",result-in,fillin
4038,overdue,visit,"if a book is overdue at the library, you pay a visit.",result-in,fillin
4039,overdue,bill,"if a book is overdue at the library, you pay a bill.",result-in,fillin
4040,overdue,dollar,"if a book is overdue at the library, you pay a dollar.",result-in,fillin
4041,overdue,deposit,"if a book is overdue at the library, you pay a deposit.",result-in,fillin
4042,overdue,penny,"if a book is overdue at the library, you pay a penny.",result-in,fillin
4043,overdue,check,"if a book is overdue at the library, you pay a check.",result-in,fillin
4044,overdue,fine,"if a book is overdue at the library, you pay a fine.",result-in,fillin
4045,overdue,dime,"if a book is overdue at the library, you pay a dime.",result-in,fillin
4046,overdue,donation,"if a book is overdue at the library, you pay a donation.",result-in,fillin
4047,overdue,fee,"if a book is overdue at the library, you pay a fee",result-in,fillin
4048,overdue,bill,"if a book is overdue at the library, you pay a bill",result-in,fillin
4049,overdue,deposit,"if a book is overdue at the library, you pay a deposit",result-in,fillin
4050,overdue,rate,"if a book is overdue at the library, you pay a rate",result-in,fillin
4051,overdue,card,"if a book is overdue at the library, you pay a card",result-in,fillin
4052,overdue,check,"if a book is overdue at the library, you pay a check",result-in,fillin
4053,overdue,fine,"if a book is overdue at the library, you pay a fine",result-in,fillin
4054,overdue,visit,"if a book is overdue at the library, you pay a visit",result-in,fillin
4055,overdue,charge,"if a book is overdue at the library, you pay a charge",result-in,fillin
4056,overdue,penny,"if a book is overdue at the library, you pay a penny",result-in,fillin
4057,paper,plastic,paper and plastic are two options for bags.,members-of-the-same-category,fillin
4058,paper,cardboard,paper and cardboard are two options for bags.,members-of-the-same-category,fillin
4059,paper,cloth,paper and cloth are two options for bags.,members-of-the-same-category,fillin
4060,paper,leather,paper and leather are two options for bags.,members-of-the-same-category,fillin
4061,paper,metal,paper and metal are two options for bags.,members-of-the-same-category,fillin
4062,paper,nylon,paper and nylon are two options for bags.,members-of-the-same-category,fillin
4063,paper,fabric,paper and fabric are two options for bags.,members-of-the-same-category,fillin
4064,paper,foam,paper and foam are two options for bags.,members-of-the-same-category,fillin
4065,paper,cotton,paper and cotton are two options for bags.,members-of-the-same-category,fillin
4066,paper,rubber,paper and rubber are two options for bags.,members-of-the-same-category,fillin
4067,paper,plastic,paper and plastic are two options for bags,members-of-the-same-category,fillin
4068,paper,cardboard,paper and cardboard are two options for bags,members-of-the-same-category,fillin
4069,paper,metal,paper and metal are two options for bags,members-of-the-same-category,fillin
4070,paper,cloth,paper and cloth are two options for bags,members-of-the-same-category,fillin
4071,paper,fabric,paper and fabric are two options for bags,members-of-the-same-category,fillin
4072,paper,nylon,paper and nylon are two options for bags,members-of-the-same-category,fillin
4073,paper,rubber,paper and rubber are two options for bags,members-of-the-same-category,fillin
4074,paper,leather,paper and leather are two options for bags,members-of-the-same-category,fillin
4075,paper,cotton,paper and cotton are two options for bags,members-of-the-same-category,fillin
4076,passing,close,"when someone walks past you, they are just passing close",common-phrase,fillin
4077,passing,surprised,i am surprised when passing another vehicle.,action,fillin
4078,passing,careful,i am careful when passing another vehicle.,action,fillin
4079,passing,startled,i am startled when passing another vehicle.,action,fillin
4080,passing,cautious,i am cautious when passing another vehicle.,action,fillin
4081,passing,relieved,i am relieved when passing another vehicle.,action,fillin
4082,passing,nervous,i am nervous when passing another vehicle.,action,fillin
4083,passing,lucky,i am lucky when passing another vehicle.,action,fillin
4084,passing,slowed,i am slowed when passing another vehicle.,action,fillin
4085,passing,shocked,i am shocked when passing another vehicle.,action,fillin
4086,passing,silent,i am silent when passing another vehicle.,action,fillin
4087,passing,silent,i am silent when passing another vehicle,action,fillin
4088,passing,slow,i am slow when passing another vehicle,action,fillin
4089,passing,driving,i am driving when passing another vehicle,action,fillin
4090,passing,stopped,i am stopped when passing another vehicle,action,fillin
4091,passing,present,i am present when passing another vehicle,action,fillin
4092,passing,faster,i am faster when passing another vehicle,action,fillin
4093,passing,slower,i am slower when passing another vehicle,action,fillin
4094,passing,seen,i am seen when passing another vehicle,action,fillin
4095,passing,invisible,i am invisible when passing another vehicle,action,fillin
4096,patients,hospital,a hospital has many patients.,location,fillin
4097,patients,school,a school has many patients.,location,fillin
4098,patients,doctor,a doctor has many patients.,location,fillin
4099,patients,house,a house has many patients.,location,fillin
4100,patients,village,a village has many patients.,location,fillin
4101,patients,hotel,a hotel has many patients.,location,fillin
4102,patients,city,a city has many patients.,location,fillin
4103,patients,patient,a patient has many patients.,location,fillin
4104,patients,family,a family has many patients.,location,fillin
4105,patients,person,a person has many patients.,location,fillin
4106,patients,hospital,a hospital has many patients,location,fillin
4107,patients,doctor,a doctor has many patients,location,fillin
4108,patients,physician,a physician has many patients,location,fillin
4109,patients,clinic,a clinic has many patients,location,fillin
4110,patients,gp,a gp has many patients,location,fillin
4111,patients,therapist,a therapist has many patients,location,fillin
4112,patients,nurse,a nurse has many patients,location,fillin
4113,patients,surgeon,a surgeon has many patients,location,fillin
4114,patients,patient,a patient has many patients,location,fillin
4115,patients,team,a team has many patients,location,fillin
4116,pensive,older,an older person can appear pensive when they are deep in thought.,hasproperty,fillin
4117,pensive,elderly,an elderly person can appear pensive when they are deep in thought.,hasproperty,fillin
4118,pensive,average,an average person can appear pensive when they are deep in thought.,hasproperty,fillin
4119,pensive,intelligent,an intelligent person can appear pensive when they are deep in thought.,hasproperty,fillin
4120,pensive,ordinary,an ordinary person can appear pensive when they are deep in thought.,hasproperty,fillin
4121,pensive,educated,an educated person can appear pensive when they are deep in thought.,hasproperty,fillin
4122,pensive,active,an active person can appear pensive when they are deep in thought.,hasproperty,fillin
4123,pensive,attractive,an attractive person can appear pensive when they are deep in thought.,hasproperty,fillin
4124,pensive,emotional,an emotional person can appear pensive when they are deep in thought.,hasproperty,fillin
4125,pensive,agitated,an agitated person can appear pensive when they are deep in thought.,hasproperty,fillin
4126,pensive,intelligent,an intelligent person can appear pensive when they are deep in thought,hasproperty,fillin
4127,pensive,average,an average person can appear pensive when they are deep in thought,hasproperty,fillin
4128,pensive,active,an active person can appear pensive when they are deep in thought,hasproperty,fillin
4129,pensive,ordinary,an ordinary person can appear pensive when they are deep in thought,hasproperty,fillin
4130,pensive,educated,an educated person can appear pensive when they are deep in thought,hasproperty,fillin
4131,pensive,abstract,an abstract person can appear pensive when they are deep in thought,hasproperty,fillin
4132,pensive,individual,an individual person can appear pensive when they are deep in thought,hasproperty,fillin
4133,pensive,older,an older person can appear pensive when they are deep in thought,hasproperty,fillin
4134,pensive,attractive,an attractive person can appear pensive when they are deep in thought,hasproperty,fillin
4135,pensive,elderly,an elderly person can appear pensive when they are deep in thought,hasproperty,fillin
4136,permission,allowing,"if i give my child permission to spend the night at a friends, i am allowing them to sleep there.",synonym,fillin
4137,permission,asking,"if i give my child permission to spend the night at a friends, i am asking them to sleep there.",synonym,fillin
4138,permission,forcing,"if i give my child permission to spend the night at a friends, i am forcing them to sleep there.",synonym,fillin
4139,permission,inviting,"if i give my child permission to spend the night at a friends, i am inviting them to sleep there.",synonym,fillin
4140,permission,ordering,"if i give my child permission to spend the night at a friends, i am ordering them to sleep there.",synonym,fillin
4141,permission,telling,"if i give my child permission to spend the night at a friends, i am telling them to sleep there.",synonym,fillin
4142,permission,encouraging,"if i give my child permission to spend the night at a friends, i am encouraging them to sleep there.",synonym,fillin
4143,permission,paying,"if i give my child permission to spend the night at a friends, i am paying them to sleep there.",synonym,fillin
4144,permission,expecting,"if i give my child permission to spend the night at a friends, i am expecting them to sleep there.",synonym,fillin
4145,permission,requiring,"if i give my child permission to spend the night at a friends, i am requiring them to sleep there.",synonym,fillin
4146,permission,allowing,"if i give my child permission to spend the night at a friends, i am allowing them to sleep there",synonym,fillin
4147,permission,asking,"if i give my child permission to spend the night at a friends, i am asking them to sleep there",synonym,fillin
4148,permission,forcing,"if i give my child permission to spend the night at a friends, i am forcing them to sleep there",synonym,fillin
4149,permission,expecting,"if i give my child permission to spend the night at a friends, i am expecting them to sleep there",synonym,fillin
4150,permission,inviting,"if i give my child permission to spend the night at a friends, i am inviting them to sleep there",synonym,fillin
4151,permission,paying,"if i give my child permission to spend the night at a friends, i am paying them to sleep there",synonym,fillin
4152,permission,telling,"if i give my child permission to spend the night at a friends, i am telling them to sleep there",synonym,fillin
4153,permission,encouraging,"if i give my child permission to spend the night at a friends, i am encouraging them to sleep there",synonym,fillin
4154,permission,requiring,"if i give my child permission to spend the night at a friends, i am requiring them to sleep there",synonym,fillin
4155,permission,willing,"if i give my child permission to spend the night at a friends, i am willing them to sleep there",synonym,fillin
4156,permission,tune,"when using a famous tune for their own project, people must get permission from the song's owner.",has-prerequisite,fillin
4157,permission,track,"when using a famous track for their own project, people must get permission from the song's owner.",has-prerequisite,fillin
4158,permission,melody,"when using a famous melody for their own project, people must get permission from the song's owner.",has-prerequisite,fillin
4159,permission,music,"when using a famous music for their own project, people must get permission from the song's owner.",has-prerequisite,fillin
4160,permission,single,"when using a famous single for their own project, people must get permission from the song's owner.",has-prerequisite,fillin
4161,permission,hit,"when using a famous hit for their own project, people must get permission from the song's owner.",has-prerequisite,fillin
4162,permission,record,"when using a famous record for their own project, people must get permission from the song's owner.",has-prerequisite,fillin
4163,permission,artist,"when using a famous artist for their own project, people must get permission from the song's owner.",has-prerequisite,fillin
4164,permission,songs,"when using a famous songs for their own project, people must get permission from the song's owner.",has-prerequisite,fillin
4165,permission,tune,"when using a famous tune for their own project, people must get permission from the song's owner",has-prerequisite,fillin
4166,permission,track,"when using a famous track for their own project, people must get permission from the song's owner",has-prerequisite,fillin
4167,permission,melody,"when using a famous melody for their own project, people must get permission from the song's owner",has-prerequisite,fillin
4168,permission,music,"when using a famous music for their own project, people must get permission from the song's owner",has-prerequisite,fillin
4169,permission,artist,"when using a famous artist for their own project, people must get permission from the song's owner",has-prerequisite,fillin
4170,permission,single,"when using a famous single for their own project, people must get permission from the song's owner",has-prerequisite,fillin
4171,permission,record,"when using a famous record for their own project, people must get permission from the song's owner",has-prerequisite,fillin
4172,permission,singer,"when using a famous singer for their own project, people must get permission from the song's owner",has-prerequisite,fillin
4173,pieces,game,many pieces make up a game.,partof,fillin
4174,pieces,puzzle,many pieces make up a puzzle.,partof,fillin
4175,pieces,piece,many pieces make up a piece.,partof,fillin
4176,pieces,set,many pieces make up a set.,partof,fillin
4177,pieces,square,many pieces make up a square.,partof,fillin
4178,pieces,board,many pieces make up a board.,partof,fillin
4179,pieces,group,many pieces make up a group.,partof,fillin
4180,pieces,team,many pieces make up a team.,partof,fillin
4181,pieces,block,many pieces make up a block.,partof,fillin
4182,pieces,song,many pieces make up a song.,partof,fillin
4183,pieces,piece,many pieces make up a piece,partof,fillin
4184,pieces,group,many pieces make up a group,partof,fillin
4185,pieces,set,many pieces make up a set,partof,fillin
4186,pieces,family,many pieces make up a family,partof,fillin
4187,pieces,square,many pieces make up a square,partof,fillin
4188,pieces,board,many pieces make up a board,partof,fillin
4189,pieces,team,many pieces make up a team,partof,fillin
4190,pieces,game,many pieces make up a game,partof,fillin
4191,pieces,pair,many pieces make up a pair,partof,fillin
4192,planet,earth,scientist have decided earth is only a dwarf planet.,category-exemplar-pairs,fillin
4193,planet,moon,scientist have decided moon is only a dwarf planet.,category-exemplar-pairs,fillin
4194,planet,venus,scientist have decided venus is only a dwarf planet.,category-exemplar-pairs,fillin
4195,planet,earth,scientist have decided earth is only a dwarf planet,category-exemplar-pairs,fillin
4196,planet,venus,scientist have decided venus is only a dwarf planet,category-exemplar-pairs,fillin
4197,planet,moon,scientist have decided moon is only a dwarf planet,category-exemplar-pairs,fillin
4198,planet,mars,scientist have decided mars is only a dwarf planet,category-exemplar-pairs,fillin
4199,poison,dangerous,poison is a dangerous substance and should be kept away from children.,hasproperty,fillin
4200,poison,poisonous,poison is a poisonous substance and should be kept away from children.,hasproperty,fillin
