,cue,association,explanation,relation,WorkerId
636,comrade,friend,"if someone is your comrade, then they are your friend.",Synonym,3
637,comrade,friend,a comrade can also be considered your friend.,Synonym,7
638,comrade,friend,a comrade can also be considered your friend.,Synonym,3
639,comrade,friend,a comrade can also be considered your friend.,Synonym,6
640,conceive,surrogate,some couples who cannot conceive will use a surrogate to carry a baby for them.,Function,5
641,conceive,surrogate,some couples who cannot conceive will use a surrogate to carry a baby for them.,Function,4
642,conceive,surrogate,some couples who cannot conceive will use a surrogate to carry a baby for them.,Function,7
643,conceive,surrogate,some couples who cannot conceive will use a surrogate to carry a baby for them.,Function,2
644,concerned,worried,"when a person is worried about another person, they are concerned for them.",Synonym,2
645,concerned,worried,"when a person is worried about another person, they are concerned for them.",Synonym,8
646,concerned,worried,"when a person is worried about another person, they are concerned for them.",Synonym,4
647,concerned,worried,"when a person is worried about another person, they are concerned for them.",Synonym,5
648,contact,phone,i could contact her on the phone.,Function,10
649,contact,phone,i save the contact nember my phone,Location,10
650,contact,phone,i could contact her on the phone.,Function,9
651,contact,phone,i save the contact nember my phone,Action,9
652,contact,phone,we use our phones to contact people,Function,7
653,contact,phone,we use our phones to contact people,Function,4
654,contact,phone,i could contact her on the phone.,Function,4
655,contact,phone,i save the contact nember my phone,Location,8
656,contact,phone,we use our phones to contact people,Function,5
657,contact,phone,i could contact her on the phone.,Action,5
658,contact,phone,we use our phones to contact people,Function,3
659,contact,phone,i save the contact nember my phone,Action,3
660,contact,phone,i could contact her on the phone.,Action,3
661,contact,phone,i save the contact nember my phone,Location,4
662,continue,persist,"if you persist with something, you continue on with it.",Synonym,6
663,continue,persist,"if you persist with something, you continue on with it.",Synonym,3
664,continue,persist,"if you persist with something, you continue on with it.",Synonym,7
665,continue,persist,"if you persist with something, you continue on with it.",Synonym,5
666,contract,car,i signed a contract on a new car.,Action,4
667,contract,car,i signed a contract on a new car.,Action,5
668,contract,car,i signed a contract on a new car.,Has-Prerequisite,7
669,contract,car,i signed a contract on a new car.,Thematic,3
670,contract,enforceable,a contract is a written agreement enforceable by law.,HasProperty,4
671,contract,enforceable,a contract is a written agreement enforceable by law.,HasProperty,3
672,contract,enforceable,a contract is a written agreement enforceable by law.,Has-Prerequisite,7
673,contribution,money,money was his only contribution.,Thematic,10
674,contribution,money,money was his only contribution.,Action,9
675,contribution,money,money was his only contribution.,Category-Exemplar-Pairs,4
676,contribution,money,money was his only contribution.,Thematic,8
677,contribution,money,money was his only contribution.,Function,2
678,contribution,money,money was his only contribution.,Action,5
679,conundrum,problem,a conundrum is a problem that is hard to solve.,Category-Exemplar-Pairs,6
680,conundrum,problem,a conundrum is a problem that is hard to solve.,Synonym,8
681,conundrum,problem,a conundrum is a problem that is hard to solve.,Category-Exemplar-Pairs,3
682,conundrum,problem,a conundrum is a problem that is hard to solve.,Category-Exemplar-Pairs,5
683,corner,street,streets meet and intersect at their corners.,Location,4
684,corner,street,streets meet and intersect at their corners.,PartOf,2
685,corner,street,streets meet and intersect at their corners.,PartOf,8
686,corner,street,streets meet and intersect at their corners.,Location,5
687,corporation,money,a corporation's goal is to make money.,Function,4
688,corporation,money,a corporation's goal is to make money.,HasProperty,5
689,corporation,money,a corporation's goal is to make money.,Function,2
690,corporation,money,a corporation's goal is to make money.,Result-In,7
691,correct,test,"when a student takes a test, the teacher checks to see which answers are correct.",Thematic,10
692,correct,test,"when a student takes a test, the teacher checks to see which answers are correct.",Thematic,9
693,correct,test,"when a student takes a test, the teacher checks to see which answers are correct.",Has-Prerequisite,7
694,correct,test,"when a student takes a test, the teacher checks to see which answers are correct.",Has-Prerequisite,4
695,correct,test,"when a student takes a test, the teacher checks to see which answers are correct.",HasProperty,2
696,correction,fix,"in order to make the correction, he had to fix his mistake.",Has-Prerequisite,10
697,correction,fix,to fix the mistake is a needed correction.,Category-Exemplar-Pairs,10
698,correction,fix,"if you are making a correction, you are fixing something",Synonym,10
699,correction,fix,"in order to make the correction, he had to fix his mistake.",Has-Prerequisite,9
700,correction,fix,to fix the mistake is a needed correction.,Category-Exemplar-Pairs,9
701,correction,fix,"if you are making a correction, you are fixing something",Synonym,9
702,correction,fix,to fix the mistake is a needed correction.,Has-Prerequisite,3
703,correction,fix,"if you are making a correction, you are fixing something",Action,7
704,correction,fix,"if you are making a correction, you are fixing something",Action,5
705,correction,fix,to fix the mistake is a needed correction.,Synonym,4
706,correction,fix,to fix the mistake is a needed correction.,Has-Prerequisite,5
707,correction,fix,"if you are making a correction, you are fixing something",Synonym,4
708,correction,fix,"in order to make the correction, he had to fix his mistake.",Has-Prerequisite,5
709,correction,fix,"in order to make the correction, he had to fix his mistake.",Category-Exemplar-Pairs,3
710,correction,fix,"if you are making a correction, you are fixing something",Synonym,3
711,correction,fix,to fix the mistake is a needed correction.,Action,7
712,correction,fix,"in order to make the correction, he had to fix his mistake.",Has-Prerequisite,7
713,correction,fix,"in order to make the correction, he had to fix his mistake.",Action,6
714,correction,mistake,corrections are made to mistakes in written documents.,Action,10
715,correction,mistake,corrections are made to mistakes in written documents.,Action,9
716,correction,mistake,corrections are made to mistakes in written documents.,Action,5
717,correction,mistake,corrections are made to mistakes in written documents.,Result-In,4
718,correction,mistake,corrections are made to mistakes in written documents.,Has-Prerequisite,8
719,correction,mistake,corrections are made to mistakes in written documents.,Result-In,2
720,cosmopolitan,city,many young people love living in a cosmopolitan city to experience the diverse culture.,Common-Phrase,4
721,cosmopolitan,city,many young people love living in a cosmopolitan city to experience the diverse culture.,Common-Phrase,8
722,cosmopolitan,city,many young people love living in a cosmopolitan city to experience the diverse culture.,Synonym,1
723,cosmopolitan,city,many young people love living in a cosmopolitan city to experience the diverse culture.,Common-Phrase,2
724,cosmopolitan,city,many young people love living in a cosmopolitan city to experience the diverse culture.,Common-Phrase,5
725,cosmopolitan,modern,new york city is a modern cosmopolitan metropolis.,Synonym,10
726,cosmopolitan,modern,new york city is a modern cosmopolitan metropolis.,Synonym,9
727,cosmopolitan,modern,new york city is a modern cosmopolitan metropolis.,Thematic,7
728,cosmopolitan,modern,new york city is a modern cosmopolitan metropolis.,Common-Phrase,5
729,cosmopolitan,modern,new york city is a modern cosmopolitan metropolis.,Common-Phrase,4
730,cosmopolitan,modern,new york city is a modern cosmopolitan metropolis.,Synonym,2
731,court,judge,judges preside over what happens in a court room.,Location,10
732,court,judge,"in every court, you can find a judge making a decision.",Location,10
733,court,judge,judges preside over what happens in a court room.,Action,9
734,court,judge,"in every court, you can find a judge making a decision.",Location,9
735,court,judge,"in every court, you can find a judge making a decision.",PartOf,3
736,court,judge,a judge presides over the court.,Location,4
737,court,judge,"in every court, you can find a judge making a decision.",Location,8
738,court,judge,judges preside over what happens in a court room.,Location,8
739,court,judge,the judge presided over the court.,Location,8
740,court,judge,judges preside over what happens in a court room.,Function,5
741,court,judge,the judge presided over the court.,Location,4
742,court,judge,"in every court, you can find a judge making a decision.",PartOf,5
743,court,judge,the judge presided over the court.,Action,5
744,court,judge,a judge presides over the court.,Function,5
745,court,judge,a judge presides over the court.,Location,8
746,court,judge,a judge presides over the court.,Location,3
747,court,judge,judges preside over what happens in a court room.,Action,4
748,court,judge,judges preside over what happens in a court room.,Location,3
749,court,judge,the judge presided over the court.,Location,3
750,court,judge,"in every court, you can find a judge making a decision.",Location,6
751,covered,discussed,if something has been covered then it's been discussed.,Synonym,4
752,covered,discussed,if something has been covered then it's been discussed.,Synonym,7
753,covered,discussed,if something has been covered then it's been discussed.,Synonym,5
754,covered,discussed,if something has been covered then it's been discussed.,Synonym,2
755,covered,umbrella,people like to use an umbrella to be covered against the rain.,Function,7
756,covered,umbrella,people like to use an umbrella to be covered against the rain.,Function,6
757,covered,umbrella,people like to use an umbrella to be covered against the rain.,Function,3
758,covered,umbrella,people like to use an umbrella to be covered against the rain.,Function,5
759,cowgirl,boots,a cowgirl is known for wearing their cowgirl boots.,Common-Phrase,10
760,cowgirl,boots,a cowgirl wears boots as part of her outfit.,PartOf,10
761,cowgirl,boots,cowgirls are like to wear boots.,PartOf,10
762,cowgirl,boots,a cowgirl is known for wearing their cowgirl boots.,HasProperty,9
763,cowgirl,boots,a cowgirl wears boots as part of her outfit.,HasProperty,9
764,cowgirl,boots,cowgirls are like to wear boots.,HasProperty,9
765,cowgirl,boots,cowgirls are like to wear boots.,Thematic,3
766,cowgirl,boots,cowgirls are like to wear boots.,PartOf,4
767,cowgirl,boots,a cowgirl is known for wearing their cowgirl boots.,Common-Phrase,4
768,cowgirl,boots,cowgirls are like to wear boots.,Action,5
769,cowgirl,boots,a cowgirl is known for wearing their cowgirl boots.,HasProperty,5
770,cowgirl,boots,a cowgirl is known for wearing their cowgirl boots.,Common-Phrase,8
771,cowgirl,boots,a cowgirl wears boots as part of her outfit.,HasProperty,6
772,cowgirl,boots,a cowgirl wears boots as part of her outfit.,Common-Phrase,8
773,cowgirl,boots,a cowgirl wears boots as part of her outfit.,Thematic,3
774,cowgirl,boots,a cowgirl is known for wearing their cowgirl boots.,Thematic,3
775,cowgirl,boots,cowgirls are like to wear boots.,Emotion-Evaluation,7
776,cowgirl,boots,a cowgirl wears boots as part of her outfit.,PartOf,5
777,crazy,attack,the woman suddenly became crazy and attacked the people around her.,Result-In,4
778,crazy,attack,the woman suddenly became crazy and attacked the people around her.,Emotion-Evaluation,3
779,crazy,attack,the woman suddenly became crazy and attacked the people around her.,Result-In,5
780,crazy,attack,the woman suddenly became crazy and attacked the people around her.,Result-In,7
781,crazy,girl,he is crazy about the beautiful girl.,Emotion-Evaluation,5
782,crazy,girl,he is crazy about the beautiful girl.,Emotion-Evaluation,4
783,crazy,girl,he is crazy about the beautiful girl.,Emotion-Evaluation,3
784,crazy,girl,he is crazy about the beautiful girl.,Emotion-Evaluation,7
785,curvy,sewing,when sewing it is important to make sure your lines are not curvy.,Thematic,10
786,curvy,sewing,when sewing it is important to make sure your lines are not curvy.,Thematic,9
787,curvy,sewing,when sewing it is important to make sure your lines are not curvy.,Action,8
788,curvy,sewing,when sewing it is important to make sure your lines are not curvy.,HasProperty,5
789,curvy,sewing,when sewing it is important to make sure your lines are not curvy.,HasProperty,2
790,curvy,shape,curvy is a way to describe a shape of a person,HasProperty,8
791,curvy,shape,the woman had a very curvy shape,Category-Exemplar-Pairs,7
792,curvy,shape,the lady has a curvy shape,HasProperty,8
793,curvy,shape,the lady has a curvy shape,Common-Phrase,4
794,curvy,shape,the shape looks so curvy.,HasProperty,5
795,curvy,shape,the woman had a very curvy shape,HasProperty,5
796,curvy,shape,the lady has a curvy shape,HasProperty,5
797,curvy,shape,the woman had a very curvy shape,HasProperty,6
798,curvy,shape,curvy is a way to describe a shape of a person,HasProperty,6
799,curvy,shape,the shape looks so curvy.,Emotion-Evaluation,6
800,curvy,shape,the lady has a curvy shape,HasProperty,3
801,curvy,shape,the shape looks so curvy.,Category-Exemplar-Pairs,7
802,curvy,shape,curvy is a way to describe a shape of a person,HasProperty,3
803,curvy,shape,the shape looks so curvy.,HasProperty,3
804,curvy,shape,curvy is a way to describe a shape of a person,Function,5
805,danger,robot,"the robot in the old tv show ""lost in space"" ran around saying danger! danger! all the time.",Thematic,2
806,danger,robot,"the robot in the old tv show ""lost in space"" ran around saying danger! danger! all the time.",Action,5
807,danger,robot,"the robot in the old tv show ""lost in space"" ran around saying danger! danger! all the time.",Thematic,7
808,darkness,light,the darkness of have without light.,Antonym,7
809,darkness,light,light is the opposite to darkness.,Antonym,8
810,darkness,light,darkness is the opposite of light.,Antonym,4
811,darkness,light,darkness is the opposite of light.,Antonym,5
812,darkness,light,light is the opposite to darkness.,Antonym,4
813,darkness,light,the darkness of have without light.,Result-In,5
814,darkness,light,light is the opposite to darkness.,Antonym,5
815,darkness,light,light is the opposite to darkness.,Antonym,3
816,darkness,light,darkness is the opposite of light.,Antonym,3
817,darkness,light,darkness is the opposite of light.,Antonym,8
818,darkness,light,the darkness of have without light.,Antonym,3
819,decipher,code,a code has to be deciphered,Action,10
820,decipher,code,codes are needed to decipher something.,Function,10
821,decipher,code,you must decipher a code.,Action,10
822,decipher,code,a code has to be deciphered,Action,9
823,decipher,code,codes are needed to decipher something.,Function,9
824,decipher,code,you must decipher a code.,Action,9
825,decipher,code,codes are needed to decipher something.,Function,7
826,decipher,code,you must decipher a code.,Action,7
827,decipher,code,a spy may decipher a secret code.,Function,8
828,decipher,code,a code has to be deciphered,Thematic,5
829,decipher,code,a spy may decipher a secret code.,Action,4
830,decipher,code,a code has to be deciphered,Action,4
831,decipher,code,a spy may decipher a secret code.,Action,3
832,decipher,code,you must decipher a code.,Action,5
833,decipher,code,a spy may decipher a secret code.,Action,5
834,decipher,code,codes are needed to decipher something.,Has-Prerequisite,3
835,decipher,code,codes are needed to decipher something.,Has-Prerequisite,4
836,decipher,code,a code has to be deciphered,Action,7
837,decipher,code,codes are needed to decipher something.,Function,5
838,decipher,code,you must decipher a code.,Has-Prerequisite,3
839,deflate,footballs,tom brady deflated footballs in a game in order to cheat.,Action,4
840,deflate,footballs,tom brady deflated footballs in a game in order to cheat.,Action,3
841,deflate,footballs,tom brady deflated footballs in a game in order to cheat.,Action,5
842,deluge,torrent,a deluge and a torrent are both big rushes of water.,Members-of-the-same-Category,10
843,deluge,torrent,a deluge and a torrent are both big rushes of water.,Members-of-the-same-Category,9
844,deluge,torrent,a deluge and a torrent are both big rushes of water.,Members-of-the-same-Category,4
845,deluge,torrent,a deluge and a torrent are both big rushes of water.,Synonym,2
846,deluge,torrent,a deluge and a torrent are both big rushes of water.,Members-of-the-same-Category,5
847,design,pattern,an artistic design may be a pattern.,HasProperty,7
848,design,pattern,an artistic design may be a pattern.,Category-Exemplar-Pairs,4
849,design,pattern,an artistic design may be a pattern.,Category-Exemplar-Pairs,3
850,design,pattern,an artistic design may be a pattern.,HasProperty,5
851,detective,columbo,columbo is a much-loved tv homicide detective.,Thematic,4
852,detective,columbo,columbo is a much-loved tv homicide detective.,Emotion-Evaluation,5
853,detective,columbo,columbo is a much-loved tv homicide detective.,Category-Exemplar-Pairs,3
854,detective,columbo,columbo is a much-loved tv homicide detective.,Thematic,7
855,different,same,different is the opposite of same.,Antonym,6
856,different,same,different is the opposite of same.,Antonym,3
857,different,same,different is the opposite of same.,Antonym,5
858,different,same,different is the opposite of same.,Antonym,7
859,different,strange,if something is different then it's often strange.,Synonym,5
860,different,strange,if something is different then it's often strange.,Synonym,6
861,different,strange,if something is different then it's often strange.,Synonym,3
862,different,strange,if something is different then it's often strange.,Synonym,8
863,dilute,concentration,"when someone dilutes a sample, they change the concentration of the sample.",Result-In,10
864,dilute,concentration,"when someone dilutes a sample, they change the concentration of the sample.",Result-In,9
865,dilute,concentration,"when someone dilutes a sample, they change the concentration of the sample.",Antonym,7
866,dilute,concentration,"when someone dilutes a sample, they change the concentration of the sample.",Result-In,5
867,dilute,concentration,"when someone dilutes a sample, they change the concentration of the sample.",Result-In,2
868,dilute,concentration,"when someone dilutes a sample, they change the concentration of the sample.",Action,6
869,dinner,food,food is what people have for dinner as a meal.,PartOf,10
870,dinner,food,my wife always serves a lot of good food for dinner.,Time,10
871,dinner,food,the food i ate at the dinner was delicious,Time,10
872,dinner,food,the food served for dinner was amazing.,Time,10
873,dinner,food,there was enough food for the dinner party.,Thematic,10
874,dinner,food,food is what people have for dinner as a meal.,Category-Exemplar-Pairs,9
875,dinner,food,my wife always serves a lot of good food for dinner.,Thematic,9
876,dinner,food,the food i ate at the dinner was delicious,Emotion-Evaluation,9
877,dinner,food,the food served for dinner was amazing.,Emotion-Evaluation,9
878,dinner,food,there was enough food for the dinner party.,Thematic,9
879,dinner,food,the food i ate at the dinner was delicious,Time,3
880,dinner,food,food is what people have for dinner as a meal.,PartOf,8
881,dinner,food,food is what people have for dinner as a meal.,PartOf,4
882,dinner,food,there was enough food for the dinner party.,Location,4
883,dinner,food,the food served for dinner was amazing.,Emotion-Evaluation,5
884,dinner,food,the food i ate at the dinner was delicious,Emotion-Evaluation,5
885,dinner,food,the food i ate at the dinner was delicious,Action,4
886,dinner,food,my wife always serves a lot of good food for dinner.,Material-MadeOf,8
887,dinner,food,the food served for dinner was amazing.,Material-MadeOf,8
888,dinner,food,my wife always serves a lot of good food for dinner.,Has-Prerequisite,6
889,dinner,food,the food served for dinner was amazing.,Time,3
890,dinner,food,there was enough food for the dinner party.,Time,3
891,dinner,food,food is what people have for dinner as a meal.,Category-Exemplar-Pairs,3
892,dinner,food,my wife always serves a lot of good food for dinner.,PartOf,3
893,dinner,food,the food i ate at the dinner was delicious,Time,8
894,dinner,food,there was enough food for the dinner party.,Thematic,7
895,dinner,food,there was enough food for the dinner party.,Thematic,5
896,dinner,food,my wife always serves a lot of good food for dinner.,Action,5
897,dinner,food,the food served for dinner was amazing.,Thematic,6
898,disaster,hurricane,a hurricane is a natural disaster.,Category-Exemplar-Pairs,3
899,disaster,hurricane,a hurricane can cause a large disaster.,HasProperty,8
900,disaster,hurricane,a hurricane can cause a large disaster.,Result-In,5
901,disaster,hurricane,a hurricane is a natural disaster.,Category-Exemplar-Pairs,4
902,disaster,hurricane,a hurricane is a good example of a natural disaster.,HasProperty,8
903,disaster,hurricane,a hurricane can cause a large disaster.,Result-In,6
904,disaster,hurricane,a hurricane is a good example of a natural disaster.,Category-Exemplar-Pairs,3
905,disaster,hurricane,a hurricane is a good example of a natural disaster.,Category-Exemplar-Pairs,6
906,disaster,hurricane,a hurricane is a good example of a natural disaster.,Category-Exemplar-Pairs,5
907,disaster,hurricane,a hurricane is a natural disaster.,HasProperty,8
908,disaster,hurricane,a hurricane can cause a large disaster.,Result-In,3
909,disaster,hurricane,a hurricane is a natural disaster.,Category-Exemplar-Pairs,5
910,disaster,natural,tornadoes are a common type of natural disaster in my area.,Common-Phrase,10
911,disaster,natural,tornadoes are a common type of natural disaster in my area.,Common-Phrase,9
912,disaster,natural,the natural disaster was unforeseen by the experts.,Common-Phrase,3
913,disaster,natural,natural calamities are also called natural disasters,Synonym,5
914,disaster,natural,natural calamities are also called natural disasters,Common-Phrase,4
915,disaster,natural,the natural disaster tore apart the neighborhood,Common-Phrase,8
916,disaster,natural,the natural disaster tore apart the neighborhood,Common-Phrase,4
917,disaster,natural,tornadoes are a common type of natural disaster in my area.,Category-Exemplar-Pairs,5
918,disaster,natural,hurricanes are a natural disaster.,Common-Phrase,5
919,disaster,natural,the natural disaster tore apart the neighborhood,Action,5
920,disaster,natural,the natural disaster was unforeseen by the experts.,Common-Phrase,5
921,disaster,natural,natural calamities are also called natural disasters,Common-Phrase,8
922,disaster,natural,the natural disaster was unforeseen by the experts.,Common-Phrase,8
923,disaster,natural,the natural disaster was unforeseen by the experts.,Common-Phrase,6
924,disaster,natural,hurricanes are a natural disaster.,Common-Phrase,6
925,disaster,natural,natural calamities are also called natural disasters,Common-Phrase,3
926,disaster,natural,tornadoes are a common type of natural disaster in my area.,Thematic,8
927,disaster,natural,hurricanes are a natural disaster.,Thematic,8
928,disaster,natural,tornadoes are a common type of natural disaster in my area.,Common-Phrase,4
929,disaster,natural,the natural disaster tore apart the neighborhood,Common-Phrase,3
930,disaster,natural,tornadoes are a common type of natural disaster in my area.,Common-Phrase,3
931,disaster,natural,hurricanes are a natural disaster.,Common-Phrase,3
932,discourse,conversation,engaging in discourse means that you are having a conversation.,Synonym,4
933,discourse,conversation,engaging in discourse means that you are having a conversation.,Synonym,7
934,discourse,conversation,engaging in discourse means that you are having a conversation.,Synonym,1
935,discourse,conversation,engaging in discourse means that you are having a conversation.,Synonym,5
936,discourse,conversation,engaging in discourse means that you are having a conversation.,Synonym,2
937,discriminate,race,people discriminate based on race.,Result-In,10
938,discriminate,race,sometimes people discriminate based only on race.,Has-Prerequisite,10
939,discriminate,race,the employer discriminates based on race.,Action,10
940,discriminate,race,people discriminate based on race.,HasProperty,9
941,discriminate,race,sometimes people discriminate based only on race.,HasProperty,9
942,discriminate,race,the employer discriminates based on race.,HasProperty,9
943,discriminate,race,sometimes people discriminate based only on race.,Has-Prerequisite,8
944,discriminate,race,people discriminate based on race.,Result-In,4
945,discriminate,race,the employer discriminates based on race.,Thematic,8
946,discriminate,race,people discriminate based on race.,Action,8
947,discriminate,race,sometimes people discriminate based only on race.,Has-Prerequisite,4
948,discriminate,race,sometimes people discriminate based only on race.,Action,5
949,discriminate,race,the employer discriminates based on race.,Common-Phrase,6
950,discriminate,race,sometimes people discriminate based only on race.,Result-In,3
951,discriminate,race,the employer discriminates based on race.,Result-In,3
952,discriminate,race,people discriminate based on race.,Result-In,3
953,discriminate,race,people discriminate based on race.,Has-Prerequisite,5
954,discriminate,race,the employer discriminates based on race.,Action,5
955,discuss,talk,i want to talk to you so we can discuss our finances.,Function,10
956,discuss,talk,to discuss something you must talk about it.,Category-Exemplar-Pairs,10
957,discuss,talk,when you discuss something you talk it through.,Category-Exemplar-Pairs,10
958,discuss,talk,i want to talk to you so we can discuss our finances.,Function,9
959,discuss,talk,to discuss something you must talk about it.,Category-Exemplar-Pairs,9
960,discuss,talk,when you discuss something you talk it through.,Category-Exemplar-Pairs,9
961,discuss,talk,i want to talk to you so we can discuss our finances.,Category-Exemplar-Pairs,3
962,discuss,talk,to discuss something you must talk about it.,Has-Prerequisite,5
963,discuss,talk,"when we discuss a topic, we talk about all the details.",Synonym,8
964,discuss,talk,"when we discuss a topic, we talk about all the details.",Category-Exemplar-Pairs,3
965,discuss,talk,i want to talk to you so we can discuss our finances.,Synonym,8
966,discuss,talk,when you discuss something you talk it through.,Category-Exemplar-Pairs,7
967,discuss,talk,"when we discuss a topic, we talk about all the details.",Synonym,4
968,discuss,talk,to discuss something you must talk about it.,Category-Exemplar-Pairs,3
969,discuss,talk,when you discuss something you talk it through.,Synonym,5
970,discuss,talk,when you discuss something you talk it through.,Category-Exemplar-Pairs,3
971,discuss,talk,i want to talk to you so we can discuss our finances.,Has-Prerequisite,5
972,discuss,talk,"when we discuss a topic, we talk about all the details.",Result-In,5
973,discuss,talk,i want to talk to you so we can discuss our finances.,Action,6
974,discuss,talk,to discuss something you must talk about it.,Has-Prerequisite,6
975,dollar,cost,this book costs seven dollars.,HasProperty,6
976,dollar,cost,this book costs seven dollars.,Thematic,5
977,dollar,cost,this book costs seven dollars.,Action,3
978,dollar,earn,i work hard to earn every dollar to make ends meet.,Action,5
979,dollar,earn,i work hard to earn every dollar to make ends meet.,Result-In,7
980,dollar,earn,i work hard to earn every dollar to make ends meet.,Action,6
981,dollar,earn,i work hard to earn every dollar to make ends meet.,Action,3
982,domestic,home,"when a person is domestic, they like to stay around home.",Synonym,10
983,domestic,home,"when a person is domestic, they like to stay around home.",Synonym,9
984,domestic,home,"if someone spends most of their time at home taking care of their family, they are considered domestic.",Synonym,8
985,domestic,home,"if someone spends most of their time at home taking care of their family, they are considered domestic.",Synonym,5
986,domestic,home,"when a person is domestic, they like to stay around home.",Synonym,4
987,domestic,home,running your home well is being domestic.,Synonym,4
988,domestic,home,"when a person is domestic, they like to stay around home.",Has-Prerequisite,5
989,domestic,home,running your home well is being domestic.,Synonym,5
990,domestic,home,"when a person is domestic, they like to stay around home.",Synonym,8
991,domestic,home,"if someone spends most of their time at home taking care of their family, they are considered domestic.",Thematic,3
992,domestic,home,running your home well is being domestic.,Thematic,3
993,domestic,home,running your home well is being domestic.,Synonym,8
994,domestic,home,"if someone spends most of their time at home taking care of their family, they are considered domestic.",Synonym,4
995,domestic,home,"when a person is domestic, they like to stay around home.",Emotion-Evaluation,3
996,dominant,aggressive,"when someone is very dominant, they may seem extra aggressive.",HasProperty,10
997,dominant,aggressive,"when someone is very dominant, they may seem extra aggressive.",Members-of-the-same-Category,9
998,dominant,aggressive,"when someone is very dominant, they may seem extra aggressive.",HasProperty,4
999,dominant,aggressive,"when someone is very dominant, they may seem extra aggressive.",Synonym,5
1000,dominant,aggressive,"when someone is very dominant, they may seem extra aggressive.",Synonym,8
1001,dominant,aggressive,"when someone is very dominant, they may seem extra aggressive.",Result-In,3
1002,dressed,best,there are plenty of best-dressed lists for celebrities.,Common-Phrase,8
1003,dressed,best,there are plenty of best-dressed lists for celebrities.,Common-Phrase,6
1004,dressed,best,there are plenty of best-dressed lists for celebrities.,Common-Phrase,5
1005,dressed,best,there are plenty of best-dressed lists for celebrities.,Common-Phrase,3
1006,dressed,up,"there is a saying ""all dressed up with no place to go.""",Common-Phrase,4
1007,dressed,up,"there is a saying ""all dressed up with no place to go.""",Common-Phrase,8
1008,dressed,up,"there is a saying ""all dressed up with no place to go.""",Common-Phrase,5
1009,dressed,up,"there is a saying ""all dressed up with no place to go.""",Common-Phrase,2
1010,drinking,alcoholic,an alcoholic is a person that has taken drinking too far.,Result-In,10
1011,drinking,alcoholic,an alcoholic is a person that has taken drinking too far.,Result-In,9
1012,drinking,alcoholic,an alcoholic is a person that has taken drinking too far.,Result-In,5
1013,drinking,alcoholic,an alcoholic is a person that has taken drinking too far.,Action,2
1014,drinking,alcoholic,an alcoholic is a person that has taken drinking too far.,Result-In,4
1015,drinking,water,drinking water is the best for your health.,Common-Phrase,10
1016,drinking,water,the thing that i mostly drink is water,Action,10
1017,drinking,water,drinking water is the best for your health.,Action,9
1018,drinking,water,the thing that i mostly drink is water,Action,9
1019,drinking,water,drinking water is the best for your health.,Common-Phrase,5
1020,drinking,water,the town had a low supply of drinking water.,Common-Phrase,5
1021,drinking,water,the town had a low supply of drinking water.,Common-Phrase,4
1022,drinking,water,the town had a low supply of drinking water.,Action,8
1023,drinking,water,the thing that i mostly drink is water,Action,3
1024,drinking,water,drinking water is the best for your health.,Action,3
1025,drinking,water,the thing that i mostly drink is water,Thematic,7
1026,drinking,water,the thing that i mostly drink is water,Thematic,4
1027,drinking,water,the town had a low supply of drinking water.,Common-Phrase,3
1028,drinking,water,drinking water is the best for your health.,Result-In,7
1029,drinking,water,the thing that i mostly drink is water,Action,5
1030,drinking,water,drinking water is the best for your health.,Thematic,6
1031,driving,permit,my daughter got a driving permit.,Has-Prerequisite,6
1032,driving,permit,my daughter got a driving permit.,Has-Prerequisite,7
1033,driving,permit,my daughter got a driving permit.,Common-Phrase,5
1034,driving,permit,my daughter got a driving permit.,Common-Phrase,2
1035,dropping,accident,dropping something is usually an accident.,Category-Exemplar-Pairs,10
1036,dropping,accident,dropping something is usually an accident.,Category-Exemplar-Pairs,9
1037,dropping,accident,dropping something is usually an accident.,Action,5
1038,dropping,accident,dropping something is usually an accident.,Action,6
1039,dropping,accident,dropping something is usually an accident.,Category-Exemplar-Pairs,3
1040,dropping,accident,dropping something is usually an accident.,HasProperty,7
1041,dropping,names,"when someone is dropping names, they are using someone's name that they think will make them look better or bigger.",Common-Phrase,4
1042,dropping,names,"when someone is dropping names, they are using someone's name that they think will make them look better or bigger.",Action,8
1043,dropping,names,"when someone is dropping names, they are using someone's name that they think will make them look better or bigger.",Common-Phrase,5
1044,dropping,names,"when someone is dropping names, they are using someone's name that they think will make them look better or bigger.",Common-Phrase,2
1045,drove,car,i couldn't wait to turn 16 so i could drive a car alone.,Action,10
1046,drove,car,the girl drove the car down the block,Action,10
1047,drove,car,i couldn't wait to turn 16 so i could drive a car alone.,Action,9
1048,drove,car,the girl drove the car down the block,Action,9
1049,drove,car,i drove my car today to the store.,Function,3
1050,drove,car,he drove the car off the side of the cliff.,Function,3
1051,drove,car,he drove the car off the side of the cliff.,Action,7
1052,drove,car,the girl drove the car down the block,Action,5
1053,drove,car,the car drove really fast on the freeway.,Action,8
1054,drove,car,the car drove really fast on the freeway.,Common-Phrase,4
1055,drove,car,he drove the car off the side of the cliff.,Action,5
1056,drove,car,the car drove really fast on the freeway.,Action,5
1057,drove,car,i drove my car today to the store.,Action,5
1058,drove,car,i couldn't wait to turn 16 so i could drive a car alone.,Has-Prerequisite,4
1059,drove,car,he drove the car off the side of the cliff.,Action,4
