,label,text
939,6,bullet [SEP] painful
940,2,camera [SEP] capture
941,6,champagne [SEP] drunk
942,10,clock [SEP] hands
943,10,clock [SEP] hands
944,9,football [SEP] sporting
945,4,glass [SEP] window
946,2,goose [SEP] fly
947,2,horse [SEP] gallops
948,3,jacket [SEP] winter
949,10,piano [SEP] keys
950,10,piano [SEP] keys
951,10,piano [SEP] keys
952,3,piano [SEP] music
953,3,piano [SEP] music
954,10,platypus [SEP] bill
955,2,platypus [SEP] swim
956,2,poison [SEP] kill
957,6,poison [SEP] kill
958,2,rabbits [SEP] hop
959,2,rabbits [SEP] hop
960,2,skunks [SEP] spray
961,10,sticks [SEP] branches
962,14,sticks [SEP] wood
963,2,stones [SEP] throw
964,0,stone [SEP] rock
965,8,syringe [SEP] hospital
966,10,tables [SEP] legs
967,8,table [SEP] plate
968,8,tables [SEP] plates
969,3,telephone [SEP] cord
970,4,trousers [SEP] belt
971,14,trousers [SEP] jeans
972,14,wallet [SEP] leather
973,0,believable [SEP] trustworthy
974,15,lonely [SEP] alone
975,0,bright [SEP] light
976,4,casinos [SEP] money
977,11,correction [SEP] fix
978,5,cowgirl [SEP] boots
979,15,dinner [SEP] food
980,14,dinner [SEP] food
981,3,drinking [SEP] water
982,3,exceeded [SEP] expectations
983,6,gelatin [SEP] dessert
984,0,miles [SEP] distance
985,2,reality [SEP] life
986,0,reality [SEP] life
987,7,salad [SEP] dressing
988,11,starting [SEP] first
989,15,weeping [SEP] sad
